, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,She Loved Me,Kahunastyle,Flamingosis,2016-02-16,204255,40,0.241,0.777,0.596,0.613,0.114,-14.698,0.0941,94.029,4,2022-05-02
1,Coke Mountain,Polymood,L'éclair,2018-09-07,515533,33,0.413,0.331,0.524,0.933,0.151,-9.859,0.0305,117.908,4,2022-05-02
2,恋するつもりになれば…,"TOKYO 1980s Victor Edition (The Compilation) Boogie, Funk & Modern Soul from Japan",DJ NOTOYA,2018-12-05,242000,38,0.654,0.831,0.535,0.0891,0.103,-7.812,0.0269,106.138,4,2022-05-02
3,Dandy in Love,「スペース☆ダンディ」O.S.T.1 ベストヒット BBP,Various Artists,2014-03-26,148350,39,0.328,0.71,0.372,0.91,0.0997,-12.471,0.0448,140.02,4,2022-05-02
4,The Shadow Of Lo,Where Have I Known You Before,Return To Forever,1974-09-01,450786,34,0.711,0.32,0.636,0.0805,0.659,-11.211,0.0534,158.011,4,2022-05-02
5,Around You,Around You,Harrison,2020-12-16,111923,40,0.811,0.515,0.836,0.225,0.148,-5.251,0.0553,103.963,4,2022-05-02
6,BABY BLUE,空中キャンプ,Fishmans,1996-02-01,369266,49,0.144,0.785,0.486,0.498,0.158,-10.5,0.065,90.989,4,2022-05-02
7,Wake Up Pts. 1 & 2,Soul Cal,Various Artists,2012-03-27,368186,29,0.312,0.708,0.875,0.00053,0.0745,-5.776,0.143,103.929,4,2022-05-02
8,Wind Surf Ballad,L'Univers De La Mer,Dominique Guiot,2019-01-25,146320,34,0.985,0.139,0.245,0.927,0.0991,-12.551,0.0336,86.368,4,2022-05-02
9,Ma Holo,On Patrol,Sun Araw,2010-05-18,515173,24,0.968,0.615,0.502,0.896,0.153,-9.501,0.0288,139.09,4,2022-05-02
10,4 U,Tapes #1-3,Hoops,2017-11-10,101061,41,0.0514,0.373,0.597,0.829,0.459,-12.088,0.0477,188.719,3,2022-05-02
11,Oasis Weir,O$VMV$M,O$VMV$M,2016-11-18,118579,26,0.595,0.262,0.353,0.737,0.122,-13.01,0.0396,103.936,3,2022-05-02
12,Audrey Horne,Mystery Flavor,Stevie Dinner,2013-09-10,302142,40,0.224,0.57,0.763,0.727,0.101,-8.302,0.0403,161.572,4,2022-05-02
13,Feedback Delicates,Brunei,Vinyl Williams,2016-08-26,299239,34,0.000208,0.306,0.966,0.0672,0.113,-4.823,0.342,98.425,4,2022-05-02
14,Joining,Eternity,t e l e p a t h テレパシー能力者,2016-10-03,763544,31,0.00157,0.516,0.753,0.858,0.057,-11.733,0.061,77.014,4,2022-05-02
15,The Apartment,Kpm 1000 Series: Friends and Lovers,Various Artists,1975-01-01,115093,32,0.879,0.6,0.229,0.926,0.135,-23.628,0.0645,93.818,4,2022-05-02
16,Night Train Of Valhalla,"Days Have Gone By, Vol. 6",John Fahey,1967-01-01,135760,36,0.463,0.316,0.49,0.904,0.124,-9.42,0.0443,117.823,4,2022-05-02
17,White Seal (Shell & Spine),Ceres & Calypso in the Deep Time,Candy Claws,2013-06-25,224244,41,0.0028,0.19,0.509,0.00324,0.0481,-6.796,0.0406,108.95,4,2022-05-02
18,It's Easy To Say Goodbye,Rain Forest,Walter Wanderley,1966,123266,32,0.752,0.603,0.591,3.36e-05,0.143,-9.922,0.0515,158.565,4,2022-05-02
19,Tears Of Clown,Wind,Gigi Masin,1986,235400,35,0.916,0.545,0.487,0.811,0.0966,-11.874,0.034,91.043,4,2022-05-02
20,Sky Byrd People Up Jump,Planetary Systems C:37,STARHEADBODY,2021-08-06,254125,37,0.0074,0.336,0.754,0.567,0.114,-8.123,0.0356,129.946,4,2022-05-02
21,Death,Grapetooth,Grapetooth,2018-11-09,274613,38,0.000156,0.554,0.941,0.00048,0.178,-3.916,0.0307,134.941,4,2022-05-02
22,Sombre Reptiles - 2004 Digital Remaster,Another Green World,Brian Eno,1975-09-01,141040,32,0.849,0.464,0.374,0.96,0.107,-16.651,0.0325,161.372,4,2022-05-02
23,Sirens,Orpheus vs. the Sirens,Hermit and the Recluse,2018-08-18,194693,44,0.435,0.323,0.647,0.00724,0.634,-7.907,0.254,133.048,4,2022-05-02
24,Slow Hot Wind,Portrait of a Gemini,Penny Goodwin,2016-11-11,287133,36,0.951,0.347,0.378,0.0986,0.0765,-12.468,0.0362,83.841,4,2022-05-02
25,Maybe,EP 3,letherette,2017-02-17,195825,33,0.204,0.403,0.608,0.0,0.145,-7.315,0.064,120.693,5,2022-05-02
26,Girls In Pearls,S.Maharba,S.Maharba,2012-04-24,76960,32,0.0146,0.453,0.908,0.923,0.379,-7.087,0.37,85.466,4,2022-05-02
27,Today,WILKES,Sam Wilkes,2018-10-05,337530,31,0.589,0.494,0.79,0.967,0.237,-7.785,0.0415,83.064,3,2022-05-02
28,Jazz Mind ジャズ,New Tokyo Blue Mood 東京,Subaeris,2014-03-12,284016,28,0.807,0.29,0.7,0.0022,0.477,-5.411,0.0476,112.281,1,2022-05-02
29,Chess,Chess,Delete Insert,2019-03-22,155656,40,0.0642,0.466,0.978,0.88,0.183,-3.054,0.0439,111.238,4,2022-05-02
