, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Gentleman,Gentleman,Fela Kuti,1973-01-01,881240,39,0.171,0.601,0.819,0.205,0.112,-6.975,0.0633,86.621,4,2021-12-13
1,Na boca do sol,Arthur Verocai,Arthur Verocai,1972,179973,50,0.864,0.442,0.486,0.482,0.358,-13.41,0.0446,141.024,4,2021-12-13
2,I'll Be with You,All the Woo in the World,Bernie Worrell,1978,447866,36,0.546,0.485,0.72,0.000332,0.121,-8.583,0.101,201.885,4,2021-12-13
3,Summer Breeze,Euphrates River (Bonus Track Version),The Main Ingredient,2015-11-13,256240,49,0.424,0.409,0.693,2.99e-05,0.268,-8.344,0.0368,162.631,4,2021-12-13
4,Kusuri o Takusan,SUNSHOWER,Taeko Onuki,1977-07-25,249293,41,0.354,0.687,0.75,0.000321,0.0449,-7.252,0.035,93.127,4,2021-12-13
5,Mysterious Vibes,Action,The Blackbyrds,1994-01-01,290066,53,0.0558,0.587,0.321,0.00332,0.107,-19.623,0.0274,92.69,4,2021-12-13
6,Pop Makossa Invasion,Pop Makossa - The Invasive Dance Beat of Cameroon 1976-1984,Various Artists,2017-06-16,287578,21,0.338,0.794,0.49,0.0519,0.089,-11.54,0.0411,111.866,4,2021-12-13
7,Justin Scott,4eva Is A Mighty Long Time,Big K.R.I.T.,2017-10-27,240334,44,0.0145,0.241,0.722,0.001,0.306,-5.161,0.0426,115.869,3,2021-12-13
8,Innerspace,Fun Trick Noisemaker,The Apples In Stereo,1995,156000,48,0.386,0.547,0.534,0.446,0.243,-11.275,0.0303,94.0,4,2021-12-13
9,Poor Wayfaring Stranger,Good God! Apocryphal Hymns,Various Artists,2013-05-07,259545,39,0.407,0.629,0.259,0.374,0.0855,-13.728,0.104,140.379,4,2021-12-13
10,This Painted World,Silk Rhodes,Silk Rhodes,2014-12-02,164148,43,0.534,0.493,0.275,0.000322,0.128,-6.518,0.0284,142.246,1,2021-12-13
11,Onda,Cuban Soul: 18 Kilates,Cassiano,1976-01-01,464626,50,0.139,0.647,0.782,0.0545,0.0621,-7.475,0.0521,99.859,4,2021-12-13
12,Time (You and I),Mordechai,Khruangbin,2020-06-26,342189,67,0.0097,0.751,0.49,0.15,0.0767,-13.684,0.0455,105.418,4,2021-12-13
13,Change for the World,Changes,Charles Bradley,2016-04-01,212941,45,0.121,0.445,0.705,1.02e-05,0.666,-6.682,0.0403,149.491,4,2021-12-13
14,Surfboard,The Genius of Esquivel,Esquivel!,2012-06-12,176880,38,0.871,0.447,0.247,0.814,0.0946,-14.661,0.0346,155.489,3,2021-12-13
15,Ladybird,Kpm 1000 Series: Friends and Lovers,Various Artists,1975-01-01,271000,35,0.529,0.564,0.138,0.91,0.11,-23.848,0.0351,83.123,4,2021-12-13
16,That Ain't The Way You Make Love,"The Complete Hill Records Collection/United Artists Recordings, 1972-1975",Z.Z. Hill,1996-01-01,225560,43,0.404,0.582,0.531,0.00155,0.165,-9.077,0.0362,78.352,4,2021-12-13
17,Cinnamon And Clove,Equinox,Sergio Mendes & Brasil '66,1967-01-01,143400,39,0.82,0.533,0.377,3.84e-06,0.0789,-14.58,0.0461,91.073,4,2021-12-13
18,Niyayesh,Back From The Brink: Pre-Revolution Psychedelic Rock From Iran: 1973-1979,Kourosh Yaghmaei,2011-08-23,333760,33,0.451,0.479,0.381,0.0412,0.131,-10.919,0.0306,82.617,4,2021-12-13
19,Shanghai,Butterfly 3000,King Gizzard & The Lizard Wizard,2021-06-11,240680,58,0.335,0.61,0.772,0.142,0.393,-7.621,0.0331,160.033,4,2021-12-13
20,ブリーズ,ファンキー・スタッフ,稲垣次郎とソウル・メディア,1975-01-25,277160,51,0.336,0.605,0.45,0.833,0.0667,-12.706,0.0402,88.17,4,2021-12-13
21,I Love Hot Nights,Modern Lovers '88,Jonathan Richman,1988-01-01,177773,50,0.563,0.702,0.647,4.17e-06,0.0713,-12.016,0.054,112.537,4,2021-12-13
22,Quiet Dawn,Attica Blues,Archie Shepp,1972-01-01,372626,37,0.833,0.349,0.45,0.59,0.0981,-14.35,0.053,129.056,4,2021-12-13
23,A Day In the Life,Eccentric Soul: Smart's Palace,Various Artists,2009-04-21,262013,36,0.286,0.468,0.434,0.929,0.115,-14.758,0.0803,188.85,4,2021-12-13
24,Experience,Invention,Daedelus,2002-04-30,128693,41,0.605,0.402,0.439,0.4,0.143,-12.55,0.0561,103.371,4,2021-12-13
25,Discern/Define,Discern / Define,The Poets Of Rhythm,2021-07-06,247106,36,0.214,0.53,0.779,0.858,0.0779,-8.704,0.14,177.724,4,2021-12-13
26,Cloak & Dagger,Cloak & Dagger / Sharpe Razor / Dub Organiser,Tommy McCook,2004-09-20,245800,35,0.144,0.831,0.506,0.648,0.276,-9.411,0.0411,131.619,4,2021-12-13
27,Pull Back the Bolt,Safari,Minimal Man,1985,175320,40,3.85e-06,0.319,0.829,0.867,0.278,-4.496,0.0505,77.031,4,2021-12-13
28,Alger la blanche,Au service de la France,Nicolas Godin,2018-06-22,227013,40,0.435,0.669,0.574,0.879,0.114,-7.841,0.03,96.058,3,2021-12-13
29,Flowers,Flowers,Andrew Ashong,2012-09-14,532313,48,0.264,0.824,0.578,0.00542,0.135,-8.893,0.105,96.019,4,2021-12-13
