, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Fool On The Street,Bustin' Out of L Seven (Expanded Edition),Rick James,1979-01-26,469546,40,0.369,0.4,0.936,1.43e-05,0.189,-5.34,0.211,124.427,4,2021-11-22
1,Honky Tonk,Get Up With It,Miles Davis,1974-11-22,353333,39,0.952,0.567,0.562,0.691,0.317,-10.057,0.0429,95.77,4,2021-11-22
2,High Life,Wisdom Through Music,Pharoah Sanders,1973-01-01,261253,36,0.884,0.388,0.631,0.308,0.309,-11.26,0.0556,172.518,5,2021-11-22
3,Heaven and Hell,World Psychedelic Classics 5: Who Is William Onyeabor?,William Onyeabor,2013-10-28,243053,29,0.645,0.648,0.901,0.252,0.17,-4.148,0.154,129.816,4,2021-11-22
4,Light My Fire,Music From “Lil Brown” - Remastered,Africa,1968,277002,35,0.426,0.686,0.589,0.0,0.265,-11.715,0.0304,100.068,4,2021-11-22
5,パッション・フラワー,PACIFIC,Haruomi Hosono,2013-07-24,214506,39,0.164,0.577,0.902,0.634,0.0637,-6.711,0.0342,113.484,4,2021-11-22
6,Ma Be Ham Nemiresim,Nimeh Gomshodeh Man,Googoosh,1989-10-27,336173,32,0.671,0.469,0.32,5.28e-06,0.126,-12.156,0.0366,130.954,4,2021-11-22
7,You've Got a Woman,You've Got a Woman,Lion,1975-01-01,205920,44,0.292,0.721,0.855,0.00124,0.0452,-7.356,0.0366,144.137,4,2021-11-22
8,Where There's Smoke There's Fire,I Love You,Willie Griffin,2019-02-01,206037,44,0.0376,0.549,0.512,2.77e-05,0.118,-12.032,0.047,158.989,4,2021-11-22
9,Skull Session,Skull Session,Oliver Nelson,1975-06-15,364520,39,0.0102,0.27,0.8,0.0407,0.0857,-6.404,0.0679,138.963,4,2021-11-22
10,Alghafiat,"Music from Saharan Cellphones, Vol. 1",Various Artists,2011-12-02,397706,35,0.473,0.707,0.611,4.72e-06,0.0729,-7.058,0.032,134.934,4,2021-11-22
11,Boys with Toys,"Gilles Peterson Digs America, Vol. 2",Various Artists,2007-09-17,166093,31,0.966,0.53,0.467,0.891,0.0882,-7.769,0.0373,95.046,4,2021-11-22
12,Jive Baby On A Saturday Night,Jive Baby On a Saturday Night,The Jellies,2010-08-09,281600,37,0.12,0.95,0.562,0.243,0.0775,-7.683,0.205,104.797,4,2021-11-22
13,Cannock Chase,"Crying, Laughing, Loving, Lying",Labi Siffre,1972,246866,45,0.861,0.381,0.484,0.931,0.129,-11.858,0.0334,123.7,4,2021-11-22
14,Man On the Side,Love Apple,Love Apple,2012-02-28,289226,34,0.886,0.767,0.494,2.73e-05,0.0342,-12.644,0.125,79.202,4,2021-11-22
15,Hold On - Remastered 2010,Plastic Ono Band,John Lennon,1970-12-11,112040,61,0.538,0.684,0.21,0.031,0.143,-18.204,0.0841,83.383,4,2021-11-22
16,Morning Sunrise,The Sisters,Weldon Irvine,2016-12-09,199320,49,0.132,0.482,0.557,0.731,0.201,-7.645,0.0487,135.367,4,2021-11-22
17,Theme From King Heroin,Food For Thought,The J.B.'s,1972-01-01,187640,37,0.619,0.49,0.133,0.654,0.0785,-17.964,0.0295,147.742,3,2021-11-22
18,Todo o mundo e ninguém,A lenda do Quarteto 1111,Quarteto 1111,1993-05-25,293400,28,0.159,0.537,0.276,0.00967,0.218,-18.649,0.0369,132.457,4,2021-11-22
19,Ice People,Link Wray,Link Wray,1971-01-01,183973,36,0.782,0.684,0.501,0.21,0.312,-12.821,0.0325,94.515,4,2021-11-22
20,Hard Working Hand,Good Mood Fool,Luke Temple,2013-10-15,223106,37,0.213,0.661,0.806,0.225,0.0698,-4.781,0.045,160.865,4,2021-11-22
21,The Fence (A),Drama Suite Part II,Alan Tew,1976-01-01,101624,29,0.0976,0.593,0.3,0.807,0.0872,-19.094,0.0583,168.082,4,2021-11-22
22,Handsome Boy (E Wara) - Pt. 1 & 2,"Mr Bongo Record Club, Vol. 1",Various Artists,2016-09-16,404400,37,0.33,0.669,0.798,0.732,0.202,-8.311,0.0312,107.702,4,2021-11-22
23,We've Only Just Begun,Visions,Grant Green,1971-05-21,310160,31,0.641,0.504,0.442,0.844,0.0766,-13.812,0.0365,169.052,4,2021-11-22
24,"I Can't Go to Sleep (feat. Ghostface Killah, RZA & Issac Hayes)",The W,Wu-Tang Clan,2000-11-20,215226,44,0.429,0.418,0.575,0.0,0.138,-5.87,0.0729,137.83,4,2021-11-22
25,Seabird,The Best Of The Alessi Brothers,Alessi Brothers,1998-01-01,186320,53,0.136,0.733,0.384,7.97e-05,0.0979,-13.177,0.0306,126.023,4,2021-11-22
26,Le Chat Du Café Des Artistes,Jaune (Version Originale Remasterisée),Jean-Pierre Ferland,2005-05-24,279226,35,0.473,0.258,0.562,4.46e-06,0.309,-13.829,0.0503,152.934,4,2021-11-22
27,Fu Manchu,Action! (Bonus Tracks Edition),Desmond Dekker & The Aces,1968-12-31,188316,37,0.887,0.687,0.263,0.0158,0.0918,-15.027,0.0535,83.68,4,2021-11-22
28,Center of Gravity,I Can Hear The Heart Beating As One,Yo La Tengo,1997,162306,12,0.17,0.817,0.356,0.604,0.0706,-13.663,0.454,159.59,4,2021-11-22
29,Escalator (feat. Sen Morimoto),Resavoir,Resavoir,2019-06-28,245373,33,0.714,0.249,0.656,0.0854,0.145,-12.46,0.0647,189.674,3,2021-11-22
