, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Tinariwen,"Music from Saharan Cellphones, Vol. 1",Various Artists,2011-12-02,376600,35,0.72,0.764,0.724,0.00134,0.28,-5.394,0.0541,101.506,4,2021-11-15
1,This Old House Is All I Have,2012 - 2017,Against All Logic,2018-02-17,218959,51,0.312,0.69,0.804,0.775,0.171,-6.288,0.0675,86.974,4,2021-11-15
2,Right - Alternative Gouster Mix,Who Can I Be Now? [1974 - 1976],David Bowie,2016-09-23,280186,37,0.48,0.451,0.809,4.83e-06,0.152,-11.542,0.213,174.618,4,2021-11-15
3,We Don't Care,Vampyros Lesbos (Sexadelic Dance Party),Vampire Sound Inc.,1969-10-24,320706,32,0.383,0.458,0.655,0.167,0.103,-9.751,0.0314,102.223,4,2021-11-15
4,Mad Man,My Own Thing,Mike Nyoni and Born Free,2018-01-28,156333,33,0.396,0.612,0.776,0.0623,0.104,-9.055,0.0645,92.85,4,2021-11-15
5,Planted A Thought,Love Is Overtaking Me,Arthur Russell,2004-10-27,208786,32,0.0193,0.811,0.623,0.865,0.175,-10.859,0.038,138.37,4,2021-11-15
6,BREEZIN',オン・ギター,Masayoshi Takanaka,1994-06-25,350000,46,0.117,0.594,0.779,0.844,0.0404,-9.609,0.0435,104.434,4,2021-11-15
7,Slowburner,Slowburner,Swithold,2018-04-20,162346,36,0.314,0.652,0.792,0.291,0.267,-11.666,0.0445,92.736,4,2021-11-15
8,Billy Jack,There's No Place Like America Today,Curtis Mayfield,1975,367266,36,0.286,0.837,0.481,0.0077,0.0709,-8.901,0.209,140.135,4,2021-11-15
9,Intergalactic Love Song,Agony and Extasy,The Diddys,2015-07-17,278040,42,0.706,0.683,0.743,0.633,0.211,-7.379,0.0325,115.079,4,2021-11-15
10,Wajang Woman,Nappy Music Man: Soul-Pop-Disco-Funk-Calypso-Crossover from Trinidad 1975-1981,Various Artists,2015-09-25,197013,35,0.113,0.73,0.894,0.0447,0.191,-9.819,0.0696,106.494,4,2021-11-15
11,Cross Country,Archie Whitewater,Archie Whitewater,1970-01-01,201866,36,0.524,0.424,0.497,0.013,0.111,-9.515,0.0347,151.049,4,2021-11-15
12,Can You Lose By Following God,Good God! Apocryphal Hymns,Various Artists,2013-05-07,254306,38,0.0725,0.532,0.254,0.0727,0.119,-11.581,0.0374,91.458,4,2021-11-15
13,Free Angela (Thoughts… And All I've Got To Say),Kwaito Kings,Various Artists,2019-03-22,317645,35,0.42,0.428,0.384,0.00802,0.128,-12.566,0.0455,83.309,4,2021-11-15
14,Mic Check,Fantasma (Remastered),Cornelius,1998-03-24,181466,41,0.00903,0.517,0.745,0.228,0.354,-10.384,0.147,101.043,4,2021-11-15
15,Sundown Syndrome,Sundown Syndrome / Remember Me,Tame Impala,2009-01-01,349333,57,0.0952,0.2,0.725,0.494,0.135,-4.88,0.0377,69.075,4,2021-11-15
16,Tropicola,Tropicola,Stringtronics,2018-09-24,161975,25,0.0372,0.643,0.394,0.86,0.108,-11.468,0.0452,88.986,4,2021-11-15
17,We Almost Lost Detroit,Bridges,Gil Scott-Heron & Brian Jackson,1977,321040,45,0.731,0.434,0.441,0.0148,0.0871,-12.769,0.0652,148.348,4,2021-11-15
18,Soul Searchin',Total Response (The United States Of Mind / Phase 2),Horace Silver,1972-04-01,259173,39,0.666,0.617,0.457,0.00186,0.073,-8.538,0.0381,132.467,4,2021-11-15
19,Dream,The Belle Album,Al Green,1973-05-12,448800,3,0.339,0.366,0.284,0.167,0.0771,-16.223,0.03,172.266,3,2021-11-15
20,B and O Blues,Dang,Eola,2016-09-23,258560,39,0.976,0.157,0.265,0.0129,0.102,-9.079,0.0325,76.089,4,2021-11-15
21,Pork Belly,Dinking in the Shadows of Zizou,Bastien Keb,2015-09-25,199337,38,0.516,0.411,0.544,0.0645,0.182,-9.577,0.0905,143.162,4,2021-11-15
22,Gentle Persuasion,"My Name is Doug Hream Blunt: Featuring the Hit ""Gentle Persuasion""",Doug Hream Blunt,2015-10-16,405520,29,0.067,0.594,0.635,0.782,0.093,-8.069,0.0411,138.624,4,2021-11-15
23,East of the River Nile - 1971 Version,Rebel Music: A Reggae Anthology,Various Artists,1979-01-01,167600,49,0.845,0.841,0.547,0.256,0.0704,-8.69,0.0601,112.852,4,2021-11-15
24,Crosshairs,THE MOUSE & THE MASK,DANGERDOOM,2005-10-17,146853,55,0.14,0.427,0.525,7.34e-05,0.602,-8.035,0.205,171.793,4,2021-11-15
25,Don't Be so Nice,Dreamin',Chuck Senrick,1976-01-01,168962,33,0.852,0.765,0.376,0.0134,0.113,-16.316,0.03,99.787,4,2021-11-15
26,Yes Indeed,Life Stories,Ebo Taylor,1977,294368,29,0.353,0.67,0.832,3.43e-05,0.157,-7.093,0.0461,118.91,4,2021-11-15
27,HAD MY GUARD UP 2 U (SINCE '92),WAHALLA,Joanne Robertson,2017-05-08,172747,33,0.0645,0.31,0.583,0.854,0.1,-16.91,0.0496,77.215,4,2021-11-15
28,Walk With Me,On the Rocks,Dwight Sykes,2017-09-20,322586,39,0.559,0.477,0.446,0.00112,0.304,-13.215,0.113,152.911,4,2021-11-15
29,Running Out Of Time,Running Out Of Time,Rexy,2016-03-18,256599,30,0.655,0.671,0.53,0.514,0.0683,-11.385,0.0277,117.852,4,2021-11-15
