, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Dirt And Grime,Who's Gonna Save The World,Father's Children,2011-06-21,212146,46,0.366,0.546,0.506,3.25e-06,0.168,-7.529,0.0391,124.322,4,2022-03-14
1,Man from Shooters Hill,Entering the Dragon,Keith Hudson,1974-01-01,232426,42,0.0655,0.767,0.411,0.828,0.161,-11.163,0.0319,92.443,4,2022-03-14
2,"The Orange County Lumber Truck - Live At Royal Festival Hall, London, 10/25/68",Weasels Ripped My Flesh,The Mothers Of Invention,1970-08-10,200720,44,0.234,0.423,0.692,0.0461,0.244,-9.45,0.0414,137.459,4,2022-03-14
3,Inspiration Information,INSPIRATION INFORMATION,Shuggie Otis,1974,252293,61,0.00271,0.805,0.654,0.00993,0.141,-7.072,0.056,89.738,4,2022-03-14
4,Summer Hill,Brazilian Octopus,Brazilian Octopus,1970-01-01,120000,29,0.807,0.362,0.463,0.403,0.141,-9.261,0.0297,159.3,4,2022-03-14
5,Barefoot,Barefoot,Chicago Hartley,2019-04-15,170581,46,0.207,0.384,0.375,0.931,0.323,-13.219,0.0313,128.853,3,2022-03-14
6,You Can't Blame Me,Eccentric Soul: The Capsoul Label,Various Artists,2005-09-27,208120,42,0.447,0.338,0.726,2.39e-05,0.599,-5.957,0.0449,168.733,4,2022-03-14
7,Obnoxius,Obnoxius,Jose Mauro,1970,230860,41,0.658,0.408,0.526,0.000151,0.438,-9.855,0.0361,89.513,3,2022-03-14
8,Fantaisie Sign,「COWBOY BEBOP」オリジナルサウンドトラック2 NO DISC,Yoko Kanno,1998,320121,18,0.369,0.378,0.927,0.19,0.0982,-5.931,0.174,169.73,4,2022-03-14
9,Tomorrow - BADBADNOTGOOD Remix,Jaime (Reimagined),Brittany Howard,2021-07-23,190692,39,0.361,0.508,0.769,0.00431,0.683,-5.362,0.0392,94.065,4,2022-03-14
10,Wally Wilder,Positive Force,Delicate Steve,2011-01-01,243040,35,0.0199,0.275,0.804,0.711,0.252,-5.785,0.0811,179.952,3,2022-03-14
11,Bottom Of Tokyo,Wool In The Pool,Wool & The Pants,2020-06-17,272280,41,0.312,0.795,0.689,0.809,0.0935,-11.384,0.037,95.027,4,2022-03-14
12,Magnólia,A Tabua De Esmeralda,Jorge Ben Jor,1974-01-01,194226,51,0.599,0.729,0.385,0.0,0.263,-13.961,0.0578,120.797,4,2022-03-14
13,Monique's Mood,Piano Man Breeds Love,Teeth Agency,2020-05-29,132038,34,0.677,0.796,0.871,0.949,0.105,-6.942,0.0724,107.99,4,2022-03-14
14,Beginning of the Heartbreak / Don't Don't,Peter Gordon Love of Life Orchestra,Peter Gordon & Love of Life Orchestra,2010-10-12,530960,45,0.00271,0.475,0.641,0.342,0.101,-7.72,0.0317,102.703,4,2022-03-14
15,Thrift Stores/ VA Days,POLYTONED: DJ Harrison and Friends,DJ Harrison,2013-12-31,110243,42,0.823,0.745,0.365,0.731,0.112,-14.325,0.361,90.698,4,2022-03-14
16,Walk Like a Motherfucker,A Song For Paul,Ghost Funk Orchestra,2019-08-23,185160,45,0.38,0.548,0.76,0.588,0.306,-7.63,0.0253,106.072,4,2022-03-14
17,All I Can Say,Lovers Rock / Showcase,Love Joys,2005-09-26,512106,39,0.00196,0.871,0.622,0.0403,0.0662,-7.768,0.0741,126.728,4,2022-03-14
18,"Stretch (12"" Version)","Stretch (12"" Version)",Maximum Joy,1981-01-01,371480,39,0.0499,0.633,0.885,0.102,0.0464,-8.353,0.309,129.431,4,2022-03-14
19,"Wrong Space, Wrong Time",Magnetic Eyes,Jeff Phelps,1985-01-01,252346,27,0.657,0.66,0.29,0.0214,0.111,-11.877,0.0312,77.522,4,2022-03-14
20,So Special (Gonna Last),Palmas,Poptartpete,2016-11-09,124000,42,0.339,0.679,0.608,0.0954,0.126,-11.381,0.141,78.093,4,2022-03-14
21,Six Pack,Step Off,ESG,2002,256493,38,0.204,0.437,0.488,0.00356,0.111,-9.954,0.131,72.306,4,2022-03-14
22,Let It Happen,Let It Happen,Jon Bap,2016-05-27,172750,38,0.0145,0.401,0.505,0.729,0.591,-12.802,0.0576,80.991,4,2022-03-14
23,Twin Of Myself,Extra Flavor (Dandelion Gum-Era Sessions),Black Moth Super Rainbow,2011-05-10,200760,47,0.209,0.477,0.833,0.137,0.0633,-5.188,0.0385,137.376,4,2022-03-14
24,All Praises,Texas Thunder Soul 1968-1974,Kashmere Stage Band,2011-09-27,397800,37,0.000373,0.4,0.893,0.68,0.237,-8.073,0.213,158.251,4,2022-03-14
25,Cement Shoes,UNFINISHED BUSINESS,Dj Spanish Fly Memphis,2020-01-07,278439,40,0.668,0.85,0.65,0.868,0.0973,-8.774,0.0464,133.67,4,2022-03-14
26,Stenella dubia,Flipper Psychout,Various Artists,2010-11-29,219826,39,0.758,0.557,0.367,0.919,0.108,-15.466,0.0436,143.783,4,2022-03-14
27,Back South,Shiroi,Mansur Brown,2018-09-28,176026,42,0.005,0.645,0.702,0.518,0.265,-7.621,0.0495,89.954,4,2022-03-14
28,Xxplosive,The Serpents Mouth,Bacao Rhythm & Steel Band,2018-09-14,201736,45,0.00133,0.671,0.62,0.864,0.592,-5.265,0.0386,169.233,4,2022-03-14
29,Get With the Program,Casual Encounter,Doug Shorts,2019-08-23,245280,43,0.0725,0.841,0.532,0.016,0.132,-7.214,0.0862,112.501,4,2022-03-14
