, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Spiritual Eternal,Eternity,Alice Coltrane,1976,176986,35,0.92,0.175,0.35,0.755,0.155,-9.744,0.0287,95.204,4,2021-09-20
1,Heaven At Once,Wild And Peaceful,Kool & The Gang,1973-09,305600,35,0.148,0.565,0.539,0.00158,0.0895,-10.537,0.149,151.251,4,2021-09-20
2,Accadde a Bali,Accadde a…,Arawak,1970-01-01,146734,35,0.589,0.744,0.126,0.88,0.123,-19.053,0.0465,81.765,4,2021-09-20
3,Glowin' (2018 Remaster),The Rationals (Deluxe Edition),The Rationals,1970-01-01,255024,27,0.307,0.385,0.42,6.43e-06,0.192,-12.961,0.0347,82.298,4,2021-09-20
4,Gbomei Adesai,Psycho African Beat,The Psychedelic Aliens,2010-11-22,188586,30,0.671,0.618,0.726,0.418,0.12,-6.502,0.0374,115.918,4,2021-09-20
5,Check up Your Head,Mogadisco - Dancing Mogadishu (Somalia 1972 - 1991) [Analog Africa No.29],Various Artists,2019-12-13,350933,30,0.00343,0.901,0.476,3.5e-05,0.0888,-11.018,0.0391,111.939,4,2021-09-20
6,Seabird,Seabird,Innovations,1977,187586,39,0.588,0.429,0.535,0.0,0.139,-11.979,0.0373,127.281,4,2021-09-20
7,House At The Sea - Psychemagik Edit,Psychemagik Presents Magik Cyrkles,Various Artists,2012-10-22,414412,35,0.0066,0.82,0.797,0.00124,0.366,-7.338,0.0511,129.661,3,2021-09-20
8,Sasà,Napoli Segreta,Various Artists,2018-07-02,222027,38,0.489,0.715,0.867,0.000203,0.486,-8.954,0.142,92.908,4,2021-09-20
9,Think About It,5,SAULT,2019-05-05,168014,37,0.314,0.702,0.679,0.841,0.177,-9.771,0.0476,119.96,4,2021-09-20
10,el camino negro,The Endless Road,Tommy Guerrero,2016-12-07,308487,14,0.642,0.682,0.494,0.933,0.128,-6.692,0.0398,97.049,3,2021-09-20
11,This Is the Place,This Is the Place,Kansas City Express,2019-10-11,319617,34,0.399,0.606,0.443,0.0,0.104,-14.801,0.0991,147.925,4,2021-09-20
12,Cavalo-Ferro,Quarteto Em Cy,Quarteto Em Cy,1972-03-01,141026,31,0.036,0.505,0.648,0.00056,0.207,-8.356,0.0379,98.218,4,2021-09-20
13,Djatasoun,Siftorde,Tidiane Thiam,2020-05-15,203141,26,0.939,0.238,0.344,0.913,0.0767,-13.005,0.0388,79.646,4,2021-09-20
14,Skatin',Night Cruiser,Deodato,1980,316306,36,0.144,0.733,0.716,0.033,0.0688,-14.626,0.0432,99.563,4,2021-09-20
15,Somebody New,Blossom Dearie Sings (45th Anniversary Edition),Blossom Dearie,2017-06-09,176718,44,0.858,0.676,0.438,0.0534,0.112,-14.717,0.0344,110.48,4,2021-09-20
16,Hang Together,Hang Together (Expanded Edition),Odyssey,1980-03-01,360360,42,0.263,0.661,0.576,0.0767,0.0907,-11.12,0.0405,114.335,4,2021-09-20
17,A Street That Rhymes at 6am,Walkin' My Cat Named Dog,Norma Tanega,1966-04-12,140306,34,0.371,0.593,0.689,0.0,0.501,-7.173,0.0371,111.254,4,2021-09-20
18,Here Comes The Ho-Dads,The Surfing Scene,The Marketts,1963-04-01,135506,36,0.661,0.755,0.729,0.518,0.371,-9.479,0.0362,143.384,4,2021-09-20
19,I'm Not Ready for Love,Promise,Promise,2020-01-17,164760,27,0.669,0.647,0.678,0.0187,0.0975,-6.925,0.175,187.194,4,2021-09-20
20,Burning Up,"""Burning Up"" b/w ""A Taste of Honey""",Donnell Pitman,2014-12-02,261562,25,0.379,0.615,0.787,8.38e-05,0.571,-7.671,0.0577,122.404,4,2021-09-20
21,Love for the Sake of Love,"Discomania: Hits Dance 70-80, Vol. 6",Various Artists,2014-07-01,267440,44,0.00798,0.792,0.582,0.902,0.04,-12.452,0.0965,94.157,4,2021-09-20
22,What's Wrong With Groovin',What's Wrong With Groovin,Various Artists,2001,173053,41,0.459,0.593,0.539,0.0,0.113,-5.898,0.0366,95.753,4,2021-09-20
23,Cristo Redentor,How Insensitive,Duke Pearson,1969-01-01,234266,40,0.994,0.2,0.0931,0.976,0.239,-21.373,0.0356,111.951,1,2021-09-20
24,Bwaata,Compost,Compost,1972-09-13,293066,27,0.496,0.459,0.409,0.00339,0.103,-13.189,0.0362,81.513,4,2021-09-20
25,Slow Dance,Keyboard Fantasies,Beverly Glenn-Copeland,1986-01-01,399235,25,0.0596,0.612,0.707,0.931,0.0776,-12.616,0.0282,142.587,4,2021-09-20
26,The Moog And Me,Moog: The Electric Eclectics Of Dick Hyman,Dick Hyman,1969-01-01,183400,36,0.0486,0.777,0.594,0.0163,0.0985,-12.689,0.0275,105.614,4,2021-09-20
27,Les Fleurs,Come To My Garden,Minnie Riperton,1970-11-01,199293,59,0.665,0.441,0.499,2.87e-06,0.211,-9.453,0.0484,151.878,4,2021-09-20
28,Shadows From Nowhere - Original Version,Shadows From Nowhere 2019,Blue Gas,2019-05-03,330310,38,0.539,0.638,0.2,0.0347,0.0963,-20.51,0.0446,79.821,4,2021-09-20
29,Descripcion,Elia Y Elizabeth,Elia y Elizabeth,1972-04-15,175728,33,0.622,0.607,0.217,0.0,0.246,-16.364,0.0337,105.024,4,2021-09-20
