, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Pingpxng,The Rabbit That Hunts Tigers,Yin Yin,2019-10-18,159443,45,0.00141,0.399,0.696,0.871,0.339,-9.98,0.0297,126.835,4,2022-01-24
1,When I Die,When I Die,Motherlode,1969-01-01,202360,37,0.0678,0.34,0.561,0.00479,0.0946,-8.927,0.0294,175.748,4,2022-01-24
2,Scrood,Scrood,Jonti,2017-03-13,202686,37,0.607,0.639,0.59,0.312,0.188,-11.014,0.0344,123.521,4,2022-01-24
3,I Wanna Lose Control,You Think You Really Know Me,Gary Wilson,1977,142866,33,0.257,0.898,0.551,0.206,0.081,-11.748,0.116,123.538,4,2022-01-24
4,I Just Wanna Lay Around All Day In Bed With You,Pick A Bigger Weapon,The Coup,2006-04-25,316413,40,0.842,0.598,0.596,0.00866,0.139,-9.248,0.304,76.191,4,2022-01-24
5,Hot Cheetos,My Feelings Be Peeling,MonoNeon,2019-01-18,254333,42,0.0281,0.693,0.822,0.0037,0.157,-5.841,0.108,93.177,4,2022-01-24
6,Island Girl,Nature of Evil,Psychic Mirrors,2016-04-12,296680,39,0.166,0.958,0.77,0.0626,0.0553,-8.047,0.0843,117.98,4,2022-01-24
7,Terrorize My Heart (Disco Dub) [Bonus Track],Predictions,79.5,2018-09-28,227264,43,0.439,0.712,0.725,0.874,0.0835,-7.572,0.0316,118.791,4,2022-01-24
8,"Pipornithology, Pt. II",Big Sun,Chassol,2015-03-09,148160,44,0.822,0.607,0.516,0.771,0.0847,-10.812,0.0918,111.252,4,2022-01-24
9,Licorice,"Metal Fingers Presents: Special Herbs, Vol. 7 and 8",MF DOOM,2004,185746,49,0.042,0.688,0.723,0.874,0.196,-5.259,0.0463,171.774,4,2022-01-24
10,Lavender,IV,BADBADNOTGOOD,2016-07-08,200438,45,0.00807,0.789,0.425,0.941,0.0697,-8.228,0.035,99.029,4,2022-01-24
11,Herewego,Life,Jinsang,2016-12-23,136673,51,0.16,0.562,0.589,0.969,0.241,-9.447,0.0689,76.584,4,2022-01-24
12,Shooting Star,Ponderosa,Richard In Your Mind,2014-08-29,231302,46,0.151,0.652,0.645,0.0402,0.275,-6.607,0.0284,90.189,4,2022-01-24
13,It's So Easy,Album 2,Louis Cole,2011-03-22,162962,36,0.12,0.419,0.919,0.00244,0.365,-7.923,0.0668,80.734,4,2022-01-24
14,Celestial Blues,Harlem Bush Music - Uhuru,Gary Bartz Ntu Troop,1971-01-01,456114,42,0.174,0.576,0.596,0.000587,0.0753,-9.884,0.322,93.47,4,2022-01-24
15,We Will Always Love You,We Will Always Love You,The Avalanches,2020-12-11,172040,58,0.4,0.535,0.626,0.752,0.102,-7.607,0.0418,160.106,4,2022-01-24
16,Don't Huzzle for Love,Black Is Beautiful,The Apostles,1977,211627,38,0.122,0.61,0.87,0.0603,0.245,-8.24,0.0315,114.539,4,2022-01-24
17,Rainmaker,Septet,John Carroll Kirby,2021-06-25,462868,36,0.127,0.451,0.529,0.869,0.0993,-8.335,0.116,172.029,4,2022-01-24
18,Said the Shovel,Protean Threat,Osees,2020-09-18,277440,39,0.0133,0.666,0.693,0.306,0.248,-9.59,0.038,115.974,4,2022-01-24
19,Lemon Firebrigade,Pelican West Plus,Haircut 100,1982,234360,42,0.0914,0.626,0.645,0.792,0.112,-14.313,0.0373,128.115,4,2022-01-24
20,Sunny Sloth,Flowering Jungle,Monster Rally,2017-12-15,191974,38,0.373,0.72,0.524,0.0624,0.13,-10.243,0.0325,105.998,4,2022-01-24
21,There You Are,Joy Techniques,Nate Mercereau,2019-07-12,360293,43,0.071,0.636,0.936,0.876,0.0668,-4.445,0.354,83.994,4,2022-01-24
22,Mysterious River Snake,Marshmallow,The Sweet Enoughs,2020-05-01,176000,49,0.721,0.541,0.651,0.924,0.365,-13.467,0.0561,191.887,3,2022-01-24
23,Roller Skates,Green Twins,Nick Hakim,2017-05-19,242506,42,0.163,0.716,0.647,0.0788,0.11,-5.314,0.0311,95.006,4,2022-01-24
24,Means the Most,NEHRUVIANDOOM,Nehruviandoom,2014-09-22,294843,34,0.391,0.382,0.467,0.0,0.218,-12.746,0.318,176.572,4,2022-01-24
25,Sua Alma,Umoja,Skinshape,2020-06-19,282765,46,0.186,0.739,0.78,0.198,0.272,-6.397,0.0562,102.99,4,2022-01-24
26,Executive Life,The New Breed,Jeff Parker,2016-06-24,458854,29,0.251,0.428,0.492,0.801,0.103,-9.947,0.034,80.044,4,2022-01-24
27,I Can't Move,EGOLI,Africa Express,2019-07-12,195213,44,0.0277,0.753,0.608,0.0476,0.0992,-8.359,0.0286,100.001,4,2022-01-24
28,Apollo's Mood,The Olympians,The Olympians,2016-10-28,271466,51,0.0431,0.393,0.693,0.854,0.13,-7.269,0.0296,85.106,4,2022-01-24
29,I Do Love,Wanna Be Your Man,Prophet,2018-05-11,242815,25,0.00422,0.769,0.612,0.0626,0.15,-8.185,0.0718,100.006,4,2022-01-24
