, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Love And Freedom,"Welcome To Zamrock! How Zambia's Liberation Led To a Rock Revolution, Vol. 2 (1972-1977)",Various Artists,2017-06-23,202480,39,0.295,0.455,0.814,0.909,0.332,-7.579,0.143,149.91,1,2022-02-28
1,Save Their Souls,Stop & Go,Bohannon,1973,296080,36,0.691,0.52,0.566,0.203,0.106,-10.147,0.103,171.768,4,2022-02-28
2,Ilando Gima Onge,Ok-Oyot System,Extra Golden,2006-05-09,666960,43,0.236,0.581,0.811,0.151,0.211,-8.525,0.0463,106.934,4,2022-02-28
3,Good Side,For a Reason,Lifetones,1983,237200,32,0.0236,0.692,0.566,0.0558,0.107,-10.499,0.0755,112.241,4,2022-02-28
4,Ne Noya,Afro-Beat Airways: Ghana & Togo 1974-1978 (Analog Africa No. 14),Various Artists,2010-08-02,252473,32,0.308,0.762,0.826,0.000866,0.085,-4.588,0.0329,121.092,4,2022-02-28
5,Lady Magnolia,To-Day's Sound,Piero Umiliani,2009-10-22,206708,49,0.762,0.382,0.473,0.829,0.0945,-16.164,0.0443,161.114,4,2022-02-28
6,Gone Away Again,Fine Anyway (Habibi Funk 016),Rogér Fakhr,2021-04-09,165604,43,0.342,0.569,0.782,0.00652,0.15,-9.102,0.151,147.929,4,2022-02-28
7,Witch Doctor,The Chisa Years 1965-1975 (Rare and Unreleased),Hugh Masekela,2006-03-13,389160,36,0.167,0.794,0.78,0.000243,0.109,-5.379,0.0439,138.462,4,2022-02-28
8,~~~~~~,By & Bye,Hidden Spheres,2017-02-24,392195,40,0.00173,0.708,0.56,0.903,0.233,-9.709,0.0385,122.02,4,2022-02-28
9,Aquarius,Music Has The Right To Children,Boards of Canada,1998-04-20,358080,50,0.0157,0.708,0.507,0.865,0.103,-12.19,0.145,168.781,4,2022-02-28
10,Conquistadores,El Chico,Chico Hamilton,1965-01-01,400480,44,0.521,0.568,0.925,0.451,0.132,-11.326,0.0405,79.542,4,2022-02-28
11,Feelin' Lovely,Myths 001,Devonté Hynes,2015-10-30,231467,50,0.348,0.723,0.757,1.32e-05,0.0949,-6.455,0.0589,89.969,4,2022-02-28
12,Fletcher Honorama,Sparks,Sparks,1971,255000,40,0.0344,0.486,0.265,0.00912,0.1,-16.425,0.0301,98.943,4,2022-02-28
13,Flying Objects,"Cosmic Future Groove, Vol. 2",Various Artists,2013-01-01,220640,36,0.0571,0.626,0.737,0.925,0.338,-9.565,0.0435,123.07,4,2022-02-28
14,JBS,Star Stuff,Chaz Bundick,2017-03-27,402993,30,0.356,0.417,0.699,0.551,0.0993,-6.187,0.0301,90.036,4,2022-02-28
15,Sea Fluorescent,Late Night Tales: Floating Points (DJ Mix),Floating Points,2019-03-29,380738,31,0.267,0.414,0.581,0.423,0.184,-15.662,0.03,94.593,3,2022-02-28
16,Lypso Illusion,Disco Illusion,Stephen Encinas,2014-05-16,284985,34,0.456,0.606,0.815,0.56,0.0926,-9.147,0.0489,128.164,4,2022-02-28
17,Bird and Flag,The Fawn,The Sea and Cake,1997-04-01,231173,36,0.284,0.695,0.543,0.62,0.13,-7.55,0.0326,113.409,4,2022-02-28
18,Prayer,African Rock,Akira Ishikawa & Count Buffaloes,2021-06-11,280000,46,0.886,0.397,0.167,0.931,0.0897,-22.264,0.0497,115.709,4,2022-02-28
19,Yekermo Sew,Pedal Steel Guitar,Will Van Horn,2018-10-15,218049,41,0.257,0.663,0.487,0.89,0.103,-12.006,0.029,115.0,4,2022-02-28
20,The Rain,"Trans-Atlantic Psych Classics, Vol.2",The Electric Peanut Butter Company,2013-10-29,201546,36,0.000924,0.441,0.962,0.614,0.122,-5.013,0.111,115.948,4,2022-02-28
21,Calaba Calabao,Palenque Palenque: Champeta Criolla & Afro Roots in Colombia 1975 - 91,Various Artists,2011,229933,35,0.721,0.645,0.846,0.124,0.0871,-6.511,0.0685,111.2,4,2022-02-28
22,Sizzlin' Hot,Sizzlin' Hot,Paradise,2018-03-15,396520,36,0.172,0.737,0.712,0.0101,0.107,-11.46,0.0578,117.137,4,2022-02-28
23,Shinjuku Strut,Hustler's Lullaby,Rick Wade,2013-12-25,314181,48,0.00745,0.565,0.689,0.777,0.0493,-12.278,0.0569,109.995,4,2022-02-28
24,NTU,Linger Lane,Bobby Hutcherson,1975,352920,36,0.683,0.414,0.725,0.688,0.18,-11.247,0.0338,91.408,4,2022-02-28
25,Southern Sunset,Good High (Expanded Edition),Brick,1976,244240,35,0.0358,0.58,0.739,0.168,0.0908,-5.313,0.0296,113.234,4,2022-02-28
26,We're Through,Welcome,James Pants,2008-05-27,212480,41,0.00177,0.845,0.802,0.822,0.245,-7.197,0.0479,108.309,4,2022-02-28
27,"Blackrock ""Yeah, Yeah""","Blackrock ""Yeah, Yeah""",Blackrock,1972,188586,34,0.156,0.491,0.949,0.911,0.186,-3.072,0.107,159.675,4,2022-02-28
28,Lay me down,Reaching for the sky,Renee,1980,233573,40,0.289,0.936,0.315,0.002,0.101,-15.498,0.0526,100.264,4,2022-02-28
29,I Don't Sleep At Night But I Wake Up At 6AM,Ordinary Drugs,Folamour,2019-02-15,309495,39,0.0698,0.679,0.912,0.765,0.0692,-7.54,0.041,114.991,4,2022-02-28
