, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,S.W.A.K.,World Class,luxury elite,2015-07-21,234004,46,0.327,0.727,0.484,0.33,0.307,-12.892,0.108,82.962,4,2022-05-09
1,Blow Job,Haackula,Bruce Haack,2015-09-22,299623,32,0.528,0.513,0.59,0.43,0.122,-8.737,0.0372,81.745,4,2022-05-09
2,El Toro - Original Mix,"Selected Works, Pt. 2 - 1976 to 1980",Ryo Kawasaki,2017-05-01,275840,36,0.343,0.597,0.961,0.651,0.0792,-4.287,0.122,135.571,4,2022-05-09
3,Hula Rock,The Super Sounds Of Bosworth,Various Artists,2007-11-05,141640,31,0.766,0.593,0.287,0.807,0.104,-21.807,0.274,81.536,4,2022-05-09
4,Time Machine,Time Machine,Hiroshi Fujiwara,2019-10-16,330022,35,0.00607,0.724,0.519,0.652,0.1,-9.638,0.0317,97.96,4,2022-05-09
5,Love De Luxe,Kpm 1000 Series: Contempo,Keith Mansfield,1976-01-01,276818,29,0.906,0.485,0.193,0.92,0.141,-18.74,0.0345,127.255,4,2022-05-09
6,Lifeline,Lifeline,Roy Ayers Ubiquity,1977,173346,36,0.189,0.513,0.747,0.0692,0.0731,-10.356,0.0362,158.388,4,2022-05-09
7,crybaby,When There's Love Around,Kiefer,2021-08-27,286552,30,0.513,0.65,0.726,0.941,0.117,-6.582,0.0237,109.973,4,2022-05-09
8,Sole Reality (feat. These Guy),Sole Reality (feat. These Guy),First Beige,2017-10-17,266823,39,0.0502,0.514,0.735,0.00526,0.406,-7.398,0.0599,84.967,4,2022-05-09
9,Swans,Tulips,Maston,2017-10-27,115905,30,0.953,0.609,0.382,0.472,0.0964,-11.973,0.0496,144.063,3,2022-05-09
10,Della Reese at the Movies,Bag O' Junk,Michael Seyer,2016-12-31,219192,37,0.764,0.592,0.219,0.865,0.115,-16.914,0.027,116.027,4,2022-05-09
11,Fantango,Vaporwave for China,XWaves,2018-06-30,220708,25,0.191,0.685,0.635,0.85,0.345,-14.173,0.0961,120.045,4,2022-05-09
12,Cathedral,Shapes of Rhythm/Woman Is Sweeter,Galt MacDermot,2000-01-01,134613,25,0.000461,0.578,0.42,0.46,0.138,-13.552,0.0361,160.621,4,2022-05-09
13,Play Nice,Love Will Let You Down,Lounge FM,2018-03-30,442000,34,0.768,0.387,0.515,0.4,0.13,-5.971,0.0317,75.842,4,2022-05-09
14,Now And Forever,A Millions Miles Away,Macross 82-99,2014-05-07,135272,40,0.0154,0.348,0.983,0.723,0.579,-6.654,0.219,105.98,4,2022-05-09
15,ノスタルジア・オブ・アイランド,PACIFIC,Haruomi Hosono,1978,575986,46,0.173,0.545,0.676,0.622,0.362,-8.274,0.0607,124.639,4,2022-05-09
16,Cadence,Cadence,The Long Faces,2017-12-03,299000,44,0.0324,0.466,0.329,0.0495,0.0768,-10.993,0.035,81.058,4,2022-05-09
17,End of the Night,Deep Fantasy,Surfing,2012-04-03,164306,23,0.257,0.439,0.873,0.463,0.308,-5.282,0.0467,139.936,4,2022-05-09
18,We're From Nowhere,Shapes,Robohands,2021-01-15,209640,31,0.0167,0.536,0.642,0.853,0.099,-14.397,0.0738,180.05,4,2022-05-09
19,Wichita Lineman,Country Moog / Nashville Gold,Gil Trythall,2007-01-01,171546,35,0.774,0.0955,0.232,0.897,0.132,-12.327,0.0329,174.444,4,2022-05-09
20,Motivation,Instrumentals,Clams Casino,2011-03-07,268016,41,0.156,0.422,0.571,0.661,0.222,-9.438,0.0427,88.025,4,2022-05-09
21,Space Cowboy,Ipanema,Saib,2015-04-28,152625,46,0.474,0.854,0.689,0.816,0.153,-15.05,0.17,97.993,4,2022-05-09
22,A Devil's Touch in the Midwest,An Old Smile,Macabre Plaza,2021-02-16,68006,44,0.754,0.482,0.645,0.847,0.102,-15.798,0.0376,159.287,4,2022-05-09
23,Freedom to Talk,Freedom to Talk,Acidslop,2019-05-09,157750,35,0.0162,0.819,0.727,0.262,0.0946,-8.024,0.0951,110.093,4,2022-05-09
24,Go For A Ride,Vapor Drip 2,Cartier God,2021-11-29,218359,34,0.436,0.399,0.815,6.51e-06,0.114,-8.272,0.212,99.341,4,2022-05-09
25,Pink Ocean,Virtue,The Voidz,2018-03-30,326706,54,0.343,0.594,0.889,0.599,0.385,-3.701,0.0407,96.986,4,2022-05-09
26,Books of War - Instrumental,Doom Is for the Children Instrumentalz,Omegah Red,2019-03-19,188967,46,0.102,0.712,0.459,0.742,0.0908,-15.095,0.0401,89.76,4,2022-05-09
27,Secretly,Nobody Has To Know,Onra,2018-02-16,188385,28,0.0022,0.508,0.684,0.233,0.404,-8.411,0.11,159.927,4,2022-05-09
28,marsriegel,Lavendula Tape,Bassti,2017-07-14,132100,36,0.938,0.386,0.285,0.855,0.109,-12.703,0.0413,118.014,4,2022-05-09
29,10,Peoples Market,Misled Children,2008-07-22,222586,36,0.62,0.613,0.569,0.945,0.0755,-8.738,0.0685,173.367,4,2022-05-09
