, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Make You Happy,Positive - Negative,Tommy Mcgee,2016-05-16,185546,28,0.92,0.458,0.519,0.177,0.116,-11.735,0.0544,79.658,4,2022-03-21
1,Effi,Members Don't Get Weary,Max Roach,1968,373706,38,0.0693,0.381,0.774,0.436,0.086,-10.261,0.0465,94.106,3,2022-03-21
2,Theme from the Planets,Life on Mars,Dexter Wansel,1976-07-01,292000,43,0.00691,0.563,0.623,0.436,0.0597,-6.967,0.0419,80.042,4,2022-03-21
3,Possarinhos,Uma Vitamina Faz Favor,Pierre Cavalli,2014-08-29,149000,38,0.672,0.689,0.498,0.872,0.121,-13.206,0.0411,105.657,4,2022-03-21
4,April Showers,Flying Start,Blackbyrds,1974-11-01,230093,42,0.00772,0.559,0.673,0.000667,0.0585,-13.65,0.0345,88.557,4,2022-03-21
5,Kakashi,Kakashi,Yasuaki Shimizu,1982,284924,40,0.0139,0.558,0.826,0.906,0.0581,-12.049,0.0379,133.065,4,2022-03-21
6,Summer Nights,Visions of a New World,Lonnie Liston Smith,1975-07-27,305613,50,0.409,0.532,0.396,0.00111,0.0961,-11.835,0.0287,106.148,4,2022-03-21
7,Eye's Drift,A New Place 2 Drown,Archy Marshall,2015-12-10,142449,35,0.661,0.699,0.824,0.839,0.268,-6.16,0.47,163.942,4,2022-03-21
8,Mr. Man,Air,Air,1971-01-01,193986,27,0.605,0.366,0.486,0.116,0.105,-12.228,0.084,175.949,4,2022-03-21
9,La La La,"Deep Throat Anthology, Parts I & II",Deepthroat,2008-12-22,181440,37,0.85,0.547,0.372,0.841,0.192,-12.674,0.028,108.318,4,2022-03-21
10,Knock Knock,Bad Neighbor Instrumentals,Madlib,2017-03-24,287120,36,0.118,0.507,0.538,5.52e-05,0.64,-11.274,0.162,98.921,4,2022-03-21
11,Fire By The River,Harumi,Harumi,1968,214226,45,0.875,0.616,0.45,0.928,0.251,-16.234,0.0276,111.486,4,2022-03-21
12,Sarava,Tristeza on Guitar,Baden Powell,1966-05-26,216489,32,0.864,0.504,0.561,0.703,0.134,-11.648,0.0383,112.975,4,2022-03-21
13,In the City,Anika,Anika,2010-11-02,151978,53,0.000597,0.57,0.518,8.23e-05,0.24,-9.804,0.0283,111.722,4,2022-03-21
14,On Love,On Love,David T. Walker,1976,298706,43,0.88,0.416,0.3,0.593,0.0701,-17.09,0.045,146.958,4,2022-03-21
15,Slipped Disc,Mambo Nassau,Lizzy Mercier Descloux,1981,222000,42,0.0494,0.571,0.842,0.0,0.101,-4.806,0.135,161.945,4,2022-03-21
16,Let Us Pray,Good God! Apocryphal Hymns,Various Artists,2013-05-07,220280,43,0.677,0.307,0.372,0.00148,0.322,-12.706,0.0312,145.483,4,2022-03-21
17,ILLUSION SUR MAUNA LOA,METRONOME POLE DANCE TWIST AMAZONE (Bande originale du film),Varnish La Piscine,2020-03-13,301704,45,0.23,0.525,0.635,0.00117,0.128,-5.671,0.0791,99.961,4,2022-03-21
18,Joy Ride (Jeff Parker Remix),Joy Ride (Jeff Parker Remix),Dougie Stu,2021-07-23,181769,43,0.00575,0.637,0.966,0.84,0.253,-4.178,0.0833,103.976,4,2022-03-21
19,Take Me Back,Golden Hands,Golden Hands,1978,461120,38,0.291,0.763,0.585,0.538,0.0954,-10.351,0.0555,99.447,4,2022-03-21
20,Hi Babe,Day of Judgement,Ngozi Family,2014-08-26,243626,40,0.924,0.779,0.737,0.0858,0.101,-9.049,0.0808,122.625,4,2022-03-21
21,The Shape You're In,The Shape You're In,Art Feynman,2017-06-06,396656,33,0.162,0.725,0.696,0.791,0.167,-9.244,0.0378,140.458,4,2022-03-21
22,Beige 70 - Domenique Dumont Bilingual Remix,Beige 70 (Domenique Dumont Bilingual Remix),Cola Boyy,2018-12-07,262019,49,0.0828,0.706,0.728,5.75e-05,0.225,-5.886,0.0561,99.976,4,2022-03-21
23,Kerosene!,Heaven To A Tortured Mind,Yves Tumor,2020-04-03,305506,63,0.00183,0.506,0.746,0.0,0.109,-7.385,0.0307,130.996,4,2022-03-21
24,Sky Train - Vocal Mix,"Side Trakx, Vol, 5",Omar S,2017-08-01,346546,46,0.337,0.825,0.204,0.717,0.12,-18.566,0.0468,113.973,4,2022-03-21
25,America,Get With The Times,Bekon,2018-01-24,213564,36,0.352,0.462,0.36,0.00441,0.175,-11.98,0.0255,82.991,4,2022-03-21
26,Sensuality,Sensuality,Aldous RH,2016-10-14,233471,22,0.162,0.737,0.614,0.0967,0.0794,-9.665,0.0406,94.515,4,2022-03-21
27,Sweet Dreamer,Big City,Lenny White,1977-01-01,279706,41,0.456,0.456,0.447,0.00197,0.127,-15.206,0.067,76.935,4,2022-03-21
28,It Is So Nice to Get Stoned,Ted Lucas,Ted Lucas,2018-11-16,261810,47,0.914,0.383,0.231,9.81e-05,0.14,-11.617,0.0283,140.225,4,2022-03-21
29,kometostai.aintreallynootherwaytoputitro,Hud Dreems,Knxwledge,2015-05-05,73897,59,0.399,0.576,0.636,0.0513,0.23,-8.688,0.0755,78.244,4,2022-03-21
