, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Na boca do sol,Arthur Verocai,Arthur Verocai,1972,179973,47,0.864,0.442,0.486,0.482,0.358,-13.41,0.0446,141.024,4,2021-06-14
1,Summer Breeze,Euphrates River (Bonus Track Version),The Main Ingredient,2015-11-13,256240,46,0.424,0.409,0.693,2.99e-05,0.268,-8.344,0.0368,162.631,4,2021-06-14
2,Mysterious Vibes,Action,The Blackbyrds,1994-01-01,290066,51,0.0558,0.587,0.321,0.00332,0.107,-19.623,0.0274,92.69,4,2021-06-14
3,Gentleman,Gentleman,Fela Kuti,1973-01-01,881240,39,0.171,0.601,0.819,0.205,0.112,-6.975,0.0633,86.621,4,2021-06-14
4,Ayonha,Tape 19.11 / Ayonha,Ahmed Malek,2017-10-25,221500,50,0.54,0.718,0.73,0.0137,0.147,-7.405,0.0292,122.904,4,2021-06-14
5,Wanda Vidal,Bis Bossa Nova - Marcos Valle,Marcos Valle,2000-01-01,123560,35,0.498,0.575,0.74,2.47e-06,0.272,-11.245,0.0327,108.587,4,2021-06-14
6,Onda,Cuban Soul: 18 Kilates,Cassiano,1976-01-01,464626,50,0.139,0.647,0.782,0.0545,0.0621,-7.475,0.0521,99.859,4,2021-06-14
7,Kusuri o Takusan,SUNSHOWER,Taeko Onuki,1977-07-25,249293,41,0.354,0.687,0.75,0.000321,0.0449,-7.252,0.035,93.127,4,2021-06-14
8,Friday Morning,Con Todo El Mundo,Khruangbin,2018-01-26,410900,52,0.125,0.36,0.261,0.843,0.105,-13.639,0.0319,78.025,4,2021-06-14
9,Quiet Dawn,Attica Blues,Archie Shepp,1972-01-01,372626,36,0.833,0.349,0.45,0.59,0.0981,-14.35,0.053,129.056,4,2021-06-14
10,Aeroplane (Reprise),You Can Fly On My Aeroplane,Wee,2008-08-26,167533,34,0.972,0.35,0.425,0.873,0.0806,-11.732,0.0505,158.015,3,2021-06-14
11,Lazy Nina,Pulse (Expanded Edition),Greg Phillinganes,1984,326613,45,0.183,0.625,0.5,3.37e-06,0.0378,-9.104,0.0873,202.318,4,2021-06-14
12,Sense,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,2015-11-13,210653,53,0.505,0.534,0.6,0.316,0.188,-9.138,0.28,202.086,4,2021-06-14
13,Take Me For a Little While,Royal Jesters: English Oldies,The Royal Jesters,2015-06-23,192506,43,0.033,0.424,0.708,0.0,0.241,-5.898,0.0322,93.126,4,2021-06-14
14,ブリーズ,ファンキー・スタッフ,稲垣次郎とソウル・メディア,1975-01-25,277160,47,0.336,0.605,0.45,0.833,0.0667,-12.706,0.0402,88.17,4,2021-06-14
15,Poor Wayfaring Stranger,Good God! Apocryphal Hymns,Various Artists,2013-05-07,259546,38,0.407,0.629,0.259,0.374,0.0855,-13.728,0.104,140.39,4,2021-06-14
16,Khaar,Back From The Brink: Pre-Revolution Psychedelic Rock From Iran: 1973-1979,Kourosh Yaghmaei,2011-08-23,408506,29,0.15,0.211,0.408,0.225,0.0463,-7.772,0.0288,99.295,3,2021-06-14
17,"Footsteps in the Dark, Pts. 1 & 2",Go for Your Guns,The Isley Brothers,1977-08-21,306800,63,0.402,0.679,0.374,2.49e-05,0.0541,-10.565,0.0482,80.86,4,2021-06-14
18,Free My People,"Soul Jazz Records Presents Nigeria Soul Fever: Afro Funk, Disco And Boogie: West African Disco Mayhem!",Various Artists,1978,292680,35,0.136,0.601,0.711,0.00187,0.249,-10.698,0.106,119.385,4,2021-06-14
19,Western Bolero,Swing Slow,Swing Slow,2018-08-22,249733,34,0.855,0.74,0.157,0.546,0.079,-18.8,0.0345,95.998,4,2021-06-14
20,John and Mary,Word Of Mouth,Jaco Pastorius,1981,653573,35,0.693,0.439,0.444,0.0105,0.122,-13.204,0.0586,132.041,4,2021-06-14
21,Las Oladas,Ranil y su Conjunto Tropical,Ranil,2020-03-20,190980,25,0.332,0.656,0.637,0.25,0.0615,-9.52,0.151,97.653,4,2021-06-14
22,All I Wanna Do - Remastered 2009,Sunflower,The Beach Boys,1970-08-31,156466,53,0.0716,0.447,0.416,0.00426,0.125,-12.181,0.0258,103.068,4,2021-06-14
23,Mermaid,Kpm 1000 Series: Synthesis,Alan Hawkshaw,1974-01-01,236866,40,0.987,0.316,0.124,0.926,0.103,-28.143,0.0337,80.669,4,2021-06-14
24,Pull Back the Bolt,Safari,Minimal Man,1985,175320,38,3.85e-06,0.319,0.829,0.867,0.278,-4.496,0.0505,77.031,4,2021-06-14
25,Seaside Weekend,Camino Del Sol,Antena,2004-03-01,198520,35,0.523,0.687,0.387,0.58,0.111,-17.514,0.0446,94.722,4,2021-06-14
26,Home,Uptown (Digitally Remastered),Gloria Barnes,2015-12-11,169680,46,0.0502,0.458,0.602,2e-06,0.21,-9.274,0.179,170.017,4,2021-06-14
27,Cue Fanfare,Swoon,Prefab Sprout,1984-03-12,245826,34,0.0299,0.622,0.523,1.22e-05,0.0722,-14.126,0.0604,89.612,4,2021-06-14
28,Persian Love,Movie,Holger Czukay,1979-01-01,386600,22,0.675,0.579,0.377,0.227,0.342,-17.056,0.0384,86.818,4,2021-06-14
29,Black Power,Black Power,Peace,2016-05-06,205426,33,0.904,0.718,0.66,0.0559,0.215,-8.717,0.0329,128.783,4,2021-06-14
