, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Played Us Cheap,Standing on the Corner,Standing On The Corner,2017-09-29,206776,42,0.77,0.34,0.536,0.00388,0.338,-9.265,0.0437,84.792,4,2022-02-21
1,Mudzimu Ndiringe,Take One,Hallelujah Chicken Run Band,2020-11-16,196933,34,0.142,0.678,0.866,0.0233,0.256,-5.251,0.0789,138.446,4,2022-02-21
2,Myself When Young,The Rubáiyát Of Dorothy Ashby,Dorothy Ashby,1970-01-01,320520,40,0.87,0.555,0.371,0.00945,0.195,-15.916,0.0611,111.765,4,2022-02-21
3,Shooting Stars,The Stark Reality Discover Hoagy Carmichael's Music Shop,Stark Reality,2003-01-01,390519,36,0.0666,0.505,0.674,0.426,0.114,-10.622,0.0346,155.645,4,2022-02-21
4,Konichiwa,The Don,Donny Benét,2018-04-06,277866,50,0.177,0.81,0.535,0.00637,0.108,-8.897,0.0358,110.03,4,2022-02-21
5,Meet the Frownies,Meet the Frownies,Mr Twin Sister,2010-09-21,240493,57,0.274,0.663,0.444,0.659,0.388,-11.214,0.0338,122.974,4,2022-02-21
6,Basheeba,Soul Jazz Records Presents VENEZUELA 70: Cosmic Visions Of A Latin American Earth - Venezuelan Experimental Rock In The 1970s,Various Artists,1972,267213,31,0.0282,0.612,0.552,0.795,0.268,-11.219,0.0264,140.283,4,2022-02-21
7,"Bold Soul Sister, Bold Soul Brother - USDEA0400901",Wheedle's Groove - Seattle's Finest in Funk & Soul 1965-75,Various Artists,2004,176613,41,0.661,0.457,0.909,1.54e-06,0.124,-3.189,0.0576,93.193,4,2022-02-21
8,Look Girl,Englishman,Barrington Levy,2001,193293,35,0.268,0.701,0.679,5.6e-05,0.368,-6.802,0.109,149.798,4,2022-02-21
9,Liquid Sunshine,Kpm 1000 Series: Voices in Harmony,Keith Mansfield,1973-01-01,179605,43,0.952,0.477,0.122,0.948,0.0839,-22.05,0.0358,78.827,4,2022-02-21
10,Goo Goo Wah Wah,Elementary (Expanded Edition),Wah Wah Watson,1976,340706,41,0.119,0.618,0.83,0.1,0.0832,-10.368,0.0928,158.472,4,2022-02-21
11,Lazy Bones,Witch: We Intend to Cause Havoc!,WITCH,2011-05-22,242040,43,0.363,0.486,0.68,0.00481,0.0968,-8.808,0.0531,103.848,4,2022-02-21
12,Sábado Morto,Sonhos E Memórias - 1941 / 1972,Erasmo Carlos,1972-01-01,258573,30,0.542,0.465,0.497,0.702,0.3,-10.549,0.0375,147.076,4,2022-02-21
13,Neveen,Egyptian Jazz,Salah Ragab,2021-06-04,474866,31,0.334,0.574,0.865,0.000133,0.166,-7.63,0.0558,110.76,4,2022-02-21
14,Kaes On Aeg,Late Night Tales: Badbadnotgood,BADBADNOTGOOD,2017-07-28,172304,39,0.768,0.665,0.37,8.44e-05,0.278,-12.31,0.0355,96.91,4,2022-02-21
15,Everybody Dies,Peer 2 Peer,World Brain,2019-04-12,228806,43,0.456,0.706,0.438,0.63,0.0921,-9.956,0.0244,95.003,4,2022-02-21
16,Boylife In America,The Headphone Masterpiece,Cody Chesnutt,2003-01-21,141213,21,0.683,0.747,0.57,1.53e-05,0.0658,-6.943,0.394,202.592,4,2022-02-21
17,"Eu, Réu, Me Condeno","Eu, Réu, Me Condeno / Feijão Com Farinha",Helio Matheus,1973,269813,37,0.187,0.789,0.713,8.14e-05,0.0703,-10.574,0.0401,108.691,4,2022-02-21
18,Can't Let Go,RFG 2 - 80's Funk Music Rare Tracks (Rare Funky Groove),Various Artists,2012-09-03,207253,33,0.171,0.793,0.751,0.0598,0.084,-9.089,0.0634,122.496,4,2022-02-21
19,Song Of Innocence,Song Of Innocence,David Axelrod,1968-01-01,274813,30,0.0645,0.446,0.531,0.57,0.278,-12.308,0.0327,105.128,4,2022-02-21
20,Trip to Your Mind,Back Street Brit Funk compiled by Joey Negro,Joey Negro,2010-05-10,589453,35,0.0939,0.567,0.567,0.463,0.104,-13.984,0.0374,133.778,4,2022-02-21
21,An Undersea Stone,An Undersea Stone,Boys Age,2019-10-25,320272,36,0.852,0.771,0.476,0.781,0.0623,-12.018,0.0469,102.905,4,2022-02-21
22,Message from a Black Man,Introducing the Whatnauts,The Whatnauts,2013-06-26,181853,32,0.905,0.501,0.219,0.737,0.474,-16.001,0.0365,92.422,4,2022-02-21
23,Misdemeanor,Foster Sylvers,Foster Sylvers,1973,153346,44,0.338,0.762,0.666,0.0,0.039,-8.675,0.0446,88.295,4,2022-02-21
24,Everybody Party Tonight,Toxic Planet,Cobra Man,2018-08-24,226200,45,0.0567,0.705,0.837,0.0275,0.0198,-4.75,0.0367,122.031,4,2022-02-21
25,Soup for One,"Dance, Dance, Dance: The Best of Chic",CHIC,1991,335066,55,0.212,0.823,0.51,0.806,0.11,-11.235,0.0352,114.83,4,2022-02-21
26,Surfside Sex,Afternooners,Patrick Cowley,2017-10-19,379845,45,0.00251,0.945,0.32,0.917,0.122,-11.629,0.22,130.236,4,2022-02-21
27,In the Midst,Digging a Tunnel,sir Was,2017-03-10,301984,53,0.723,0.585,0.592,0.86,0.852,-7.389,0.0411,90.976,4,2022-02-21
28,THOUSAND KNIVES,TOKYO JOE,Ryuichi Sakamoto,1997-04-19,579200,33,0.443,0.579,0.572,0.226,0.673,-14.54,0.0528,102.541,4,2022-02-21
29,Computer Games,Computer Games,George Clinton,1982-01-01,406533,33,0.0955,0.786,0.732,0.00458,0.131,-13.511,0.12,122.059,4,2022-02-21
