, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,薔薇と野獣,HOSONO HOUSE,Haruomi Hosono,1973,272133,23,0.375,0.613,0.848,0.0791,0.273,-6.733,0.121,86.454,4,2022-01-10
1,Gypsy Woman - Demo Version,Under The Streetlamps: Anthology 1967-72,Joe Bataan,2008-06-17,246173,53,0.495,0.61,0.686,0.0,0.0844,-7.726,0.0504,118.051,4,2022-01-10
2,San Franciscan Nights,"Wind, Sky And Diamonds",Gábor Szabó,1967-09-14,203040,47,0.851,0.564,0.229,0.025,0.125,-18.816,0.0448,94.234,4,2022-01-10
3,Asa Branca,Um Violão em Primeiro Plano,Rosinha De Valença,1971-12-09,252413,40,0.927,0.445,0.344,0.738,0.0999,-11.311,0.0347,135.363,5,2022-01-10
4,Lyk U Use 2 (feat. Andres),Moodymann,Moodymann,2014-01-27,343000,54,0.108,0.621,0.485,0.13,0.156,-13.429,0.219,183.391,4,2022-01-10
5,Baba Ayoola,Baba Ayoola,KOKOROKO,2020-11-13,238533,45,0.0887,0.793,0.666,0.033,0.0889,-9.082,0.117,123.135,5,2022-01-10
6,Bsslama Hbibti,Habibi Funk: An Eclectic Selection of Music from the Arab World (Habibi Funk 007),Various Artists,2017-12-01,293500,42,0.515,0.765,0.765,6.24e-06,0.0656,-4.864,0.138,147.029,4,2022-01-10
7,No Fear,No Fear,Inflo,2018-08-03,251292,39,0.0639,0.755,0.856,0.000796,0.384,-7.44,0.0701,119.995,4,2022-01-10
8,Love Misunderstood,Nassau's Discos,Muchos Plus,2021-02-05,302000,34,0.224,0.749,0.477,0.00138,0.15,-8.654,0.262,141.513,4,2022-01-10
9,Khomo Tsaka Deile Kae?,"Next Stop Soweto 4: Zulu Rock, Afro-Disco & Mbaqanga 1975-1985",Various Artists,2015-03-09,224720,39,0.117,0.659,0.775,8.19e-06,0.195,-8.058,0.0864,120.7,4,2022-01-10
10,Funkier Than a Mosquito's Tweeter,It Is Finished (Expanded Edition),Nina Simone,1974,320426,48,0.403,0.53,0.545,0.00769,0.699,-15.729,0.0535,138.678,4,2022-01-10
11,Mam Yinne Wa,Mam Yinne Wa,Alogte Oho & His Sounds of Joy,2019-11-08,235118,40,0.482,0.389,0.482,0.175,0.142,-7.751,0.0986,181.607,3,2022-01-10
12,Enjoy Your Life,I Want to Feel Your Love,Oby Onyioha,2015-07-15,378485,42,0.0701,0.876,0.518,0.0245,0.0651,-13.189,0.0618,115.958,4,2022-01-10
13,Eyes Didn't Let Me Open,Eyes Didn't Let Me Open,Stennes,2021-03-21,175332,44,0.269,0.378,0.698,0.298,0.0924,-10.891,0.065,105.605,4,2022-01-10
14,Real Thrill,Universal Togetherness Band,Universal Togetherness Band,2015-01-20,291600,30,0.00925,0.631,0.863,0.0,0.0777,-8.425,0.0274,127.9,4,2022-01-10
15,Darling Come Back Home,"I Am Your Woman, She Is Your Wife",Barbara Mason,1978-01-01,301120,45,0.000224,0.61,0.602,1.29e-06,0.0769,-9.613,0.0953,96.014,4,2022-01-10
16,Storm,American Eyes,Rare Silk,1985,324336,43,0.923,0.761,0.176,0.215,0.073,-16.804,0.0478,91.627,4,2022-01-10
17,Move on Up,Disco Reggae,Various Artists,2013-11-15,292571,50,0.146,0.845,0.769,0.355,0.0917,-7.838,0.036,145.985,4,2022-01-10
18,Easier to Love,Easier to Love,Sonia Ferguson,2019-12-06,352386,46,0.174,0.763,0.31,0.0385,0.0813,-17.834,0.192,85.267,4,2022-01-10
19,You Got the Stuff,'Bout Love,Bill Withers,1978-01-01,434800,42,0.0615,0.903,0.673,0.659,0.0462,-7.831,0.0367,103.052,4,2022-01-10
20,Every Season,HomeCooking (Bonus Track),Tony Allen,2002,248400,30,0.074,0.759,0.752,7.74e-05,0.0466,-6.264,0.0906,163.856,4,2022-01-10
21,Jammin' - With The Jam Band,Surinam Funk Force,Antal,2016-10-07,393742,36,0.64,0.453,0.864,0.0117,0.127,-4.239,0.254,199.987,4,2022-01-10
22,The Magnificent Moon,Phase,Mildlife,2017-11-02,532066,51,0.558,0.59,0.802,0.699,0.164,-5.776,0.0371,112.024,4,2022-01-10
23,Still Got a Way to Fall,My Name Is Nicole Willis,Nicole Willis,2017-09-29,227000,45,0.354,0.597,0.769,1.86e-05,0.188,-7.293,0.229,171.325,4,2022-01-10
24,I Tcho Tchass,Togo Soul 70,Various Artists,2016-11-18,231041,39,0.917,0.404,0.57,0.0349,0.36,-8.67,0.252,80.383,4,2022-01-10
25,Seventy Two Nations,"Barry Myers Presents Scratchy Sounds (Ska, Dub, Roots & Reggae Nuggets)",Barry Myers,2004-01-01,643813,35,0.163,0.759,0.387,0.544,0.351,-10.685,0.037,100.004,4,2022-01-10
26,Anima latina,Anima latina,Lucio Battisti,1974,397586,47,0.411,0.416,0.632,0.0022,0.0714,-11.967,0.0866,117.085,4,2022-01-10
27,24-Carat Black (Theme),Ghetto: Misfortune's Wealth,24 Carat Black,1973-01-01,435097,37,0.0345,0.521,0.676,0.692,0.113,-10.377,0.0289,119.861,4,2022-01-10
28,Reaching for Our Star,Eccentric Soul: The Forte Label,Various Artists,2013-09-03,220703,34,0.684,0.811,0.574,0.0204,0.118,-11.506,0.0545,102.558,4,2022-01-10
29,L.A.NIGHT,SKINDO-LE-LE ~From Jazz Funk to Brazilian Fusion,Yasuko Agawa,1993-09-22,329600,34,0.373,0.788,0.452,0.121,0.133,-13.922,0.0488,99.556,4,2022-01-10
