, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Déshominisation (II),La Planète Sauvage (Original Motion Picture Soundtrack),Alain Goraguer,2005,57653,33,0.233,0.365,0.524,0.0214,0.159,-7.346,0.0342,118.222,3,2022-07-18
1,Yedin Beni,Dünden Bugüne,Ersen ve Dadaşlar,1976,287078,24,0.0514,0.615,0.671,0.0166,0.285,-12.611,0.0499,124.614,4,2022-07-18
2,Lipstick,pom pom,Ariel Pink,2014-11-17,200293,54,0.00058,0.472,0.832,0.000255,0.256,-3.278,0.0339,134.957,4,2022-07-18
3,Portrait of Tracy,Jaco Pastorius,Jaco Pastorius,1976,142466,45,0.974,0.238,0.0536,0.948,0.106,-28.218,0.0515,68.031,3,2022-07-18
4,Kilimanjaro Cookout,The Roar Of '74,Buddy Rich,2005-10-06,377693,32,0.326,0.362,0.935,0.472,0.0708,-6.719,0.082,181.808,3,2022-07-18
5,AP Special,Original Rockers,Augustus Pablo,2016-02-19,169933,35,0.0389,0.887,0.688,0.114,0.0501,-11.198,0.0453,125.01,4,2022-07-18
6,La via della droga - Originale,La via della droga (The Original Motion Picture Soundtrack),Goblin,1977,128759,35,0.00743,0.482,0.444,0.694,0.141,-12.398,0.029,94.36,4,2022-07-18
7,In Linistea Noptil,The Lost Tapes,Rodion G.A.,2013-05-27,157640,38,0.809,0.487,0.565,0.859,0.111,-6.289,0.0307,122.623,4,2022-07-18
8,The Blue Ghost / Shedding Qliphoth,"""Bath""",maudlin of the Well,2001,477120,35,0.463,0.246,0.211,0.726,0.251,-14.561,0.0339,83.195,4,2022-07-18
9,Mr. Frosty,Expert Knob Twiddlers,Mike & Rich,1996,413384,29,0.0132,0.69,0.66,0.00651,0.0984,-6.393,0.036,120.146,4,2022-07-18
10,Jorgea Corisco,Robson Jorge e Lincoln Olivetti,Robson Jorge,1982-09-16,232937,29,0.25,0.737,0.78,0.953,0.0755,-8.509,0.034,140.51,4,2022-07-18
11,Put the Word Out,Central Heating (Expanded Edition),Heatwave,1978-03-31,396093,35,0.0525,0.554,0.643,6.65e-05,0.125,-11.834,0.0502,124.896,4,2022-07-18
12,Pitch the Baby,Heaven or Las Vegas,Cocteau Twins,1990,194080,56,0.438,0.478,0.821,0.324,0.559,-6.729,0.0407,178.131,4,2022-07-18
13,"Hospital Dub (I Want to be Called a Great Doctor) [From ""Earthbound""]","Earthbound, Vol. 1",The Versions,2020-02-27,113637,25,0.00563,0.684,0.372,0.86,0.193,-16.885,0.0895,75.911,4,2022-07-18
14,Oblo',Lingua d'argento,Alberto Baldan Bembo,1976-03-18,316300,29,0.696,0.198,0.567,0.86,0.254,-9.647,0.0403,166.542,4,2022-07-18
15,You Belong to Me,Carry On,Bobby Caldwell,1991-10-24,191093,48,0.203,0.855,0.349,1.56e-05,0.0922,-14.848,0.0486,105.409,4,2022-07-18
16,Time Machine,My Home Town,Aiko,2017-07-17,191244,26,0.294,0.75,0.781,0.0338,0.121,-11.703,0.0541,140.705,4,2022-07-18
17,Não Tem Nada Não,Previsão Do Tempo,Marcos Valle,1973-03-30,191306,37,0.375,0.774,0.585,0.608,0.0771,-13.718,0.0554,128.846,4,2022-07-18
18,Nowin,シーナリー・オブ・ジャパニーズ・ジャズ,Various Artists,2020-01-15,436066,33,0.507,0.333,0.523,0.633,0.0847,-9.419,0.0603,82.117,4,2022-07-18
19,The Herald,First Utterance,Comus,1971-01-01,728480,33,0.823,0.262,0.313,0.808,0.227,-15.779,0.0358,124.769,4,2022-07-18
20,"Esty Point, Summer 1978",Music for Amplified Keyboard Instruments,David Borden,2015-03-16,388146,33,0.671,0.481,0.435,0.871,0.215,-15.576,0.031,129.063,4,2022-07-18
21,Bewitched (Are You Leaving Soon),The 20th Anniversary,Naomi Akimoto,1982-12-12,284333,38,0.207,0.754,0.738,0.000322,0.0606,-5.909,0.029,97.41,4,2022-07-18
22,Crosshairs,THE MOUSE & THE MASK,DANGERDOOM,2005-10-17,146853,55,0.14,0.428,0.525,7.34e-05,0.602,-8.035,0.205,171.797,4,2022-07-18
23,星くず,デキシー・フィーバー,Makoto Kubota,1989-01-25,241733,37,0.169,0.759,0.282,0.0317,0.0567,-21.312,0.0292,108.579,4,2022-07-18
24,Gargoyle,Bodyguard,The I.L.Y's,2017-05-16,176257,32,0.0642,0.548,0.744,0.0214,0.265,-3.874,0.0294,120.475,4,2022-07-18
25,Sweet Eyes,Mosaic of the Orient,Elias Rahbani,1992-01-01,161466,37,0.0976,0.595,0.5,0.035,0.261,-11.706,0.0352,105.438,4,2022-07-18
26,Monky Disco,The Babe Rainbow,Babe Rainbow,2017-09-01,208079,45,0.00838,0.575,0.875,0.0203,0.877,-4.711,0.0582,123.003,4,2022-07-18
27,Pencerenin Perdesini,Pencerenin Perdesini / Beyoğlu'nda Gezersin,Gökçen Kaynatan,1973-09-01,144625,27,0.332,0.645,0.901,0.0686,0.0544,-10.037,0.0654,92.867,4,2022-07-18
28,Soul Lam Plearn,"Sound of Siam, Vol. 1 - Leftfield Luk Thung, Jazz & Molam in Thailand 1964-1975",Various Artists,2010-09-09,180653,33,0.447,0.642,0.744,0.355,0.154,-8.914,0.0369,106.441,4,2022-07-18
29,Self: Love,Turn to Clear View,Joe Armon-Jones,2019-09-20,373466,32,0.619,0.317,0.783,0.257,0.122,-10.35,0.202,87.274,4,2022-07-18
