, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Crying Every Night (These Eyes),Version Galore,U-Roy,1971-01-01,151080,40,0.214,0.866,0.683,0.114,0.107,-7.897,0.232,81.384,4,2021-10-04
1,Alberto Balsalm,...I Care Because You Do,Aphex Twin,1995-04-24,310746,58,0.316,0.792,0.599,0.931,0.111,-13.647,0.141,93.994,4,2021-10-04
2,Diagonals,Dots And Loops (Expanded Edition),Stereolab,1997,315429,39,0.0903,0.655,0.584,0.0979,0.234,-9.496,0.063,167.147,5,2021-10-04
3,Sexopolis,Le mariage collectif (Original Motion Picture Soundtrack),Jean-Pierre Mirouze,2012-10-08,282394,36,0.765,0.505,0.708,0.92,0.19,-4.589,0.0509,112.421,4,2021-10-04
4,Ya Ya Breathe,Those Who Throw Objects at the Crocodiles Will Be Asked to Retrieve Them,Bruno Pernadas,2016-09-23,783549,37,0.209,0.661,0.645,0.606,0.145,-8.541,0.0365,108.012,4,2021-10-04
5,Windows,Windows,Jack Wilkins,1973-07-18,596198,33,0.835,0.392,0.485,0.869,0.0785,-14.726,0.0372,116.605,4,2021-10-04
6,I Get Lifted,Rock Your Baby,George McCrae,1974,167333,35,0.628,0.803,0.652,0.121,0.125,-8.122,0.0392,99.6,4,2021-10-04
7,Oboe,Keyboard King at Studio One,Jackie Mittoo,2000-01-01,578733,33,0.0229,0.668,0.58,0.842,0.108,-13.31,0.0554,160.296,4,2021-10-04
8,Fisherman,Heart Of The Congos,The Congos,1977,328240,49,0.432,0.604,0.458,0.00446,0.0804,-15.055,0.161,174.248,4,2021-10-04
9,Fourty Days,Windows of the Mind,Billy Brooks,1974,377445,33,0.563,0.584,0.569,0.784,0.0811,-9.118,0.0854,112.994,4,2021-10-04
10,Astawesalehu,Sons of Ethiopia,Admas,2020-07-27,328506,28,0.604,0.729,0.437,0.0224,0.0663,-10.907,0.0243,89.094,4,2021-10-04
11,Losalamitoslatinfunklovesong,Astral Signal,Gene Harris,1974-11-21,190106,42,0.226,0.77,0.709,0.0148,0.0583,-12.005,0.0558,134.948,4,2021-10-04
12,A Message Especially from God,Late Night Tales: Floating Points (DJ Mix),Floating Points,2019-03-29,222113,25,0.754,0.672,0.266,0.00551,0.105,-15.749,0.122,73.938,4,2021-10-04
13,Soul Lam Plearn,"Sound of Siam, Vol. 1 - Leftfield Luk Thung, Jazz & Molam in Thailand 1964-1975 (Soundway Records)",Various Artists,2012,180653,34,0.45,0.642,0.744,0.356,0.154,-8.914,0.037,106.441,4,2021-10-04
14,ZaZa and Some Runtz (Smoke Break),Zaza and Some Runtz (Smoke Break),Terry Presume,2021-05-20,199613,47,0.225,0.727,0.661,5.62e-05,0.0971,-5.22,0.342,77.055,5,2021-10-04
15,Jacaranda,Jacaranda,Luiz Bonfá,1999-02-23,249208,36,0.828,0.723,0.439,0.623,0.0889,-12.387,0.0403,82.696,4,2021-10-04
16,Showdown,Nightlife,Thin Lizzy,1974-01-01,272000,35,0.347,0.672,0.442,0.0895,0.117,-13.397,0.0965,81.215,4,2021-10-04
17,Sittin' In My Car,Behind Bars,Slick Rick,1994-01-01,226600,49,0.102,0.783,0.734,1.93e-05,0.103,-10.373,0.269,96.872,4,2021-10-04
18,A Time for Us,"Late Night Tales: Belle and Sebastian, Vol. 2",Belle & Sebastian,2012-03-26,195053,44,0.704,0.333,0.448,0.677,0.141,-14.122,0.0384,82.554,4,2021-10-04
19,Don't You Know,Melodies,Jan Hammer Group,1977-10-17,180077,44,0.0688,0.656,0.792,0.654,0.091,-7.121,0.0478,93.804,4,2021-10-04
20,Os Grilos,Batucada,Walter Wanderley,1967-01-01,264813,35,0.905,0.654,0.528,0.72,0.115,-17.36,0.0351,108.876,4,2021-10-04
21,Lessons From My Mistakes...but I Lost Your Number,Couldn't Wait to Tell You...,Liv.e,2020-07-31,160000,45,0.322,0.295,0.487,4.16e-06,0.363,-14.235,0.0823,90.918,4,2021-10-04
22,People Make the World Go Round,Good Times Skank: Joey Jay (Good Times Sound System),Various Artists,2002-08-05,198680,37,0.699,0.772,0.463,0.0328,0.154,-10.481,0.0317,89.228,1,2021-10-04
23,What Does It Take (To Win Your Love),Be True to Yourself: The Godfather of Lover's Rock (Anthology 1965-1973),Alton Ellis,2004-11-23,199560,48,0.11,0.812,0.448,0.00126,0.0542,-11.048,0.0505,116.557,4,2021-10-04
24,Can I Watch? (feat. Apani B as Nikki),Vaudeville Villain,Viktor Vaughn,2003,267440,51,0.377,0.758,0.531,0.0,0.15,-9.617,0.406,84.067,4,2021-10-04
25,Time,Time b/w Walk On By,Otis the 3rd,1971-01-01,227413,24,0.68,0.465,0.337,0.00246,0.103,-10.669,0.0266,71.827,4,2021-10-04
26,No Go (For Louis Macneice),Number Thirteen,The Cleaners From Venus,1990,220666,35,0.525,0.714,0.576,0.000242,0.0816,-11.721,0.111,135.95,4,2021-10-04
27,Waitin' on Ya,Missing Molars (Swnt Deluxe),Genesis Owusu,2021-07-14,344000,38,0.675,0.786,0.466,0.000121,0.112,-6.285,0.0974,125.996,4,2021-10-04
28,The Truth Shall Make You Free,Who Told You That?,The Mighty Hannibal,1998-01-02,199973,23,0.0479,0.775,0.78,0.0,0.218,-8.46,0.0614,107.131,4,2021-10-04
29,Mabuhay Boy,LiteAce Frequency,Vex Ruffin,2020-08-21,206333,32,0.0424,0.663,0.968,0.037,0.29,-5.561,0.0352,103.296,4,2021-10-04
