, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Justin Scott,4eva Is A Mighty Long Time,Big K.R.I.T.,2017-10-27,240334,43,0.0145,0.241,0.722,0.001,0.306,-5.161,0.0426,115.869,3,2021-06-07
1,Preben Goes to Acapulco,It's Album Time,Todd Terje,2014-04-07,275173,46,0.0177,0.713,0.675,0.856,0.0851,-9.751,0.0366,95.997,4,2021-06-07
2,SAY GOODBYE,Awakening,Hiroshi Sato,1982,206320,46,0.484,0.772,0.67,0.000249,0.0545,-8.514,0.0563,111.019,4,2021-06-07
3,This Painted World,Silk Rhodes,Silk Rhodes,2014-12-02,164148,41,0.534,0.498,0.275,0.000322,0.128,-6.518,0.0284,142.234,1,2021-06-07
4,I'll Be with You,All the Woo in the World,Bernie Worrell,1978,447866,36,0.546,0.485,0.72,0.000332,0.121,-8.583,0.101,201.885,4,2021-06-07
5,Key to Love (Is Understanding),Key to Love (Is Understanding),BADBADNOTGOOD,2019-12-06,235841,38,0.687,0.579,0.211,0.000668,0.0715,-14.832,0.047,129.707,4,2021-06-07
6,Conduct,The Return of The Durutti Column,The Durutti Column,1979-01-01,304933,33,0.892,0.58,0.405,0.367,0.161,-9.007,0.0362,115.308,4,2021-06-07
7,The Other Song,The Mercury Years,Spirit,1997-01-01,330000,43,0.311,0.422,0.408,0.00158,0.39,-9.131,0.0577,160.018,3,2021-06-07
8,Ana Damir El Motakallim,Mouasalat Ila Jacad El Ard (Habibi Funk 010),Issam Hajali,2019-11-22,702000,35,0.163,0.249,0.671,0.00322,0.313,-8.609,0.0435,77.44,4,2021-06-07
9,Innerspace,Fun Trick Noisemaker,The Apples In Stereo,1995,156000,43,0.386,0.547,0.534,0.446,0.243,-11.275,0.0303,94.0,4,2021-06-07
10,Les Amis - Actual Magic Remix,Les Amis (Actual Magic Remix),François de Roubaix,2018-12-18,192156,36,0.531,0.529,0.484,0.678,0.106,-9.059,0.0257,82.618,4,2021-06-07
11,"Closed Place, Open World","Closed Place, Open World",Slauson Malone,2018-06-12,163841,40,0.913,0.492,0.431,0.894,0.129,-12.106,0.155,97.988,4,2021-06-07
12,Storm,American Eyes,Rare Silk,1985,324336,41,0.923,0.761,0.176,0.215,0.073,-16.804,0.0478,91.627,4,2021-06-07
13,How Can You Say It,Love is a Hurtin' Thing,Gloria Ann Taylor,2015-11-27,172973,39,0.888,0.345,0.606,0.0238,0.288,-9.433,0.0412,98.677,4,2021-06-07
14,Reasons,Reasons,El Michels Affair,2020-06-01,196497,48,0.944,0.577,0.385,0.622,0.109,-6.648,0.0332,141.064,4,2021-06-07
15,I'm Glad,Safe As Milk,Captain Beefheart & His Magic Band,1967,210400,52,0.887,0.366,0.407,0.263,0.114,-10.047,0.0265,148.436,3,2021-06-07
16,Harlem Hendoo,Soul In the Horn,Al Hirt,1967-08-21,159200,35,0.336,0.491,0.359,0.616,0.126,-10.174,0.0298,182.353,4,2021-06-07
17,Blueberry Beads,My Garden,John Carroll Kirby,2020-04-24,207076,33,0.118,0.52,0.686,0.0334,0.186,-7.165,0.0277,75.995,4,2021-06-07
18,Early Summer,シーナリィ,福居良,1976,644466,47,0.615,0.348,0.63,0.402,0.159,-10.103,0.0541,85.404,4,2021-06-07
19,Vou Recomeçar,Gal Costa,Gal Costa,1969-01-01,204600,41,0.31,0.696,0.448,0.000204,0.0662,-13.402,0.0435,112.874,4,2021-06-07
20,Change for the World,Changes,Charles Bradley,2016-04-01,212941,43,0.121,0.445,0.705,1.02e-05,0.666,-6.682,0.0403,149.491,4,2021-06-07
21,The Man Who Must Leave,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,Shin Joong Hyun,2011-09-12,465226,36,0.164,0.308,0.513,0.543,0.0695,-7.956,0.0385,85.941,4,2021-06-07
22,That Ain't The Way You Make Love,"The Complete Hill Records Collection/United Artists Recordings, 1972-1975",Z.Z. Hill,1996-01-01,225560,41,0.404,0.582,0.531,0.00155,0.165,-9.077,0.0362,78.352,4,2021-06-07
23,Surfboard,The Genius of Esquivel,Esquivel!,2012-06-12,176880,36,0.871,0.447,0.247,0.814,0.0946,-14.661,0.0346,155.489,3,2021-06-07
24,Happy Survival,Nigeria 70 - Lagos Jump,Various Artists,2008-05-12,188466,13,0.39,0.698,0.658,0.0023,0.103,-7.934,0.0768,153.865,4,2021-06-07
25,Early Ev'ry Midnite,Feel Like Makin' Love,Roberta Flack,1975,354333,36,0.688,0.45,0.298,0.0546,0.155,-17.819,0.0388,138.953,4,2021-06-07
26,When the Lights Are Low,On the Beach: The Anthology,The Paragons,1967-01-01,184626,42,0.809,0.587,0.384,0.0375,0.1,-7.622,0.0239,90.085,4,2021-06-07
27,Cinnamon And Clove,Equinox,Sergio Mendes & Brasil '66,1967-01-01,143400,37,0.82,0.533,0.377,3.84e-06,0.0789,-14.58,0.0461,91.073,4,2021-06-07
28,Pop Makossa Invasion,Pop Makossa - The Invasive Dance Beat of Cameroon 1976-1984,Various Artists,2017-06-16,287578,18,0.338,0.794,0.49,0.0519,0.089,-11.54,0.0411,111.866,4,2021-06-07
29,We Will Always Love You,We Will Always Love You,The Avalanches,2020-12-11,172040,57,0.4,0.535,0.626,0.752,0.102,-7.607,0.0418,160.106,4,2021-06-07
