, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Heaven At Once,Wild And Peaceful,Kool & The Gang,1973-09,305600,39,0.148,0.565,0.539,0.00158,0.0895,-10.537,0.149,151.251,4,2022-03-29
1,Burning Up,"""Burning Up"" b/w ""A Taste of Honey""",Donnell Pitman,2014-12-02,261562,38,0.379,0.615,0.787,8.38e-05,0.571,-7.671,0.0577,122.404,4,2022-03-29
2,In the sun again,the CITY,Sunny Day Service,2018-03-14,169991,50,0.593,0.844,0.701,0.179,0.0724,-10.232,0.0453,106.99,4,2022-03-29
3,Humpty Dumpty,Ball of Eyes,Placebo,1971-01-01,154586,28,0.63,0.67,0.497,0.925,0.101,-10.221,0.0301,102.644,4,2022-03-29
4,Mar Azul,Matança Do Porco,Som Imaginario,1973,223893,39,0.47,0.383,0.65,0.11,0.547,-7.986,0.03,123.774,4,2022-03-29
5,Love for the Sake of Love,"Discomania: Hits Dance 70-80, Vol. 6",Various Artists,2014-07-01,267440,51,0.00798,0.792,0.582,0.902,0.04,-12.452,0.0965,94.157,4,2022-03-29
6,Bennington,A Collection Of Rarities And Previously Unreleased Material,John Maus,2012-01-01,193013,35,0.00145,0.709,0.379,0.639,0.116,-9.953,0.0322,134.952,4,2022-03-29
7,Shirim,Bon Voyage,Melody's Echo Chamber,2018-06-15,286680,57,0.0462,0.648,0.71,0.445,0.254,-10.992,0.0607,101.163,4,2022-03-29
8,Seabird,Seabird,Innovations,1977,187586,49,0.588,0.429,0.535,0.0,0.139,-11.979,0.0373,127.281,4,2022-03-29
9,Skatin',Night Cruiser,Deodato,1980,316306,42,0.144,0.733,0.716,0.033,0.0688,-14.626,0.0432,99.563,4,2022-03-29
10,Accadde a Bali,Accadde a…,Arawak,1970-01-01,146734,44,0.589,0.744,0.126,0.88,0.123,-19.053,0.0465,81.765,4,2022-03-29
11,Feel Like Making Love,Ninguém Vai Me Segurar,Ana Mazzotti,1974-09-13,234120,50,0.335,0.562,0.563,0.0613,0.247,-16.474,0.0418,89.363,4,2022-03-29
12,Livin' Loose,Slide,George Clanton,2018-08-17,349280,51,0.00262,0.296,0.948,4.45e-05,0.619,-5.417,0.0664,109.757,4,2022-03-29
13,CLOSE YOUR EYES,WE ARE JUST TAKING OFF,Sadistics,2016-03-16,294800,38,0.487,0.74,0.697,0.000891,0.328,-6.547,0.0321,141.77,4,2022-03-29
14,Sasà,Napoli Segreta,Various Artists,2018-07-02,222027,42,0.489,0.715,0.867,0.000203,0.486,-8.954,0.142,92.908,4,2022-03-29
15,This Is the Place,This Is the Place,Kansas City Express,2019-10-11,319617,43,0.399,0.606,0.443,0.0,0.104,-14.801,0.0991,147.925,4,2022-03-29
16,Only One Can Win,The Sylvers,The Sylvers,1972,184746,42,0.695,0.659,0.667,0.0,0.379,-6.084,0.0782,153.812,4,2022-03-29
17,N´Nijo,Amara Touré '1973 - 1980',Amara Touré,2013,359858,29,0.931,0.733,0.468,0.0653,0.119,-9.098,0.0307,126.034,4,2022-03-29
18,Gbomei Adesai,Psycho African Beat,The Psychedelic Aliens,2010-11-22,188586,40,0.671,0.618,0.726,0.418,0.12,-6.502,0.0374,115.918,4,2022-03-29
19,Espairecendo,A Virgem de Saint Tropez (Trilha Sonora Original),Hareton Salvanini,1974-01-01,218266,32,0.837,0.603,0.532,0.95,0.0668,-10.571,0.0482,115.117,4,2022-03-29
20,Harness,Burd,Wilma Vritra,2019-04-05,252122,45,0.803,0.695,0.365,0.00139,0.0981,-11.707,0.0948,134.102,4,2022-03-29
21,Var Har Du Varit,Var Har Du Varit,Dungen,2019-05-22,207346,25,0.201,0.245,0.861,0.91,0.122,-5.348,0.0605,105.646,3,2022-03-29
22,Dub It,Hurt so Good (Bonus Track Edition),Susan Cadogan,1976-01-01,191280,30,0.452,0.654,0.441,0.726,0.106,-12.29,0.0402,88.834,4,2022-03-29
23,Lil Thing,Paradise,Knox Fortune,2017-09-22,207445,58,0.23,0.689,0.803,1.95e-05,0.0897,-3.929,0.15,155.967,4,2022-03-29
24,Jericho,Music and Dreams,Robert Lester Folsom,2014-10-20,223066,26,0.23,0.41,0.643,0.0197,0.0837,-11.229,0.0286,138.249,4,2022-03-29
25,GYPSY SONG,南米旅行,西岡恭蔵,1994-10-25,263400,38,0.63,0.547,0.647,0.0016,0.626,-9.533,0.0573,85.423,4,2022-03-29
26,Tu y Yo,Tu y Yo,Grupo Almendra,2020-10-16,268607,27,0.29,0.307,0.847,0.155,0.088,-6.909,0.146,149.464,4,2022-03-29
27,The Worst Band In The World,Tenology,10cc,2012-01-01,165226,38,0.192,0.653,0.453,0.0048,0.122,-13.259,0.156,155.748,4,2022-03-29
28,I Miss You (Dobie Rub Part One) - Sunshine Mix,Telegram,Björk,1996-11-25,335493,41,0.00905,0.752,0.496,0.000693,0.182,-9.602,0.0573,92.992,4,2022-03-29
29,Madagascar,Let's Build a Roof,LAKE,2009-10-06,193733,41,0.17,0.661,0.531,0.0366,0.064,-9.377,0.0352,152.084,4,2022-03-29
