, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Afe Ato Yen Bio,Analog Africa Goes Emusic,Various Artists,2015-06-22,282070,25,0.404,0.814,0.856,0.000164,0.147,-4.97,0.0404,122.312,4,2021-10-18
1,Bargain,"Make It Fast, Make It Slow (Soundway Records)",Rob,2012-03-12,317684,38,0.515,0.811,0.561,0.304,0.127,-10.883,0.423,103.967,4,2021-10-18
2,King Tubby Meets Rockers Uptown,King Tubbys Meets Rockers Uptown,King Tubby,1976-07-07,152832,44,0.0178,0.802,0.581,0.872,0.0924,-11.424,0.0435,131.983,4,2021-10-18
3,In the middle of the night,Searching,Ronald Langestraat,2019-01-03,215533,37,0.0616,0.679,0.594,0.116,0.113,-10.228,0.0261,94.545,4,2021-10-18
4,Watermelon Man,Head Hunters,Herbie Hancock,1973-10-26,388960,57,0.262,0.724,0.414,0.111,0.0785,-11.19,0.0588,146.939,4,2021-10-18
5,Got This Happy Feeling,Power Fuerza,Ghetto Brothers,2014-12-31,276373,32,0.0234,0.525,0.904,2.3e-06,0.0627,-6.584,0.0658,132.493,4,2021-10-18
6,Sudden Death,Sudden Death,Quelle Chris,2020-02-04,221283,48,0.383,0.608,0.87,0.847,0.067,-4.344,0.0287,157.118,4,2021-10-18
7,Let's Go Get Stoned,Doin' Our Thing,Booker T. & the M.G.'s,1968,174533,47,0.852,0.491,0.0475,0.778,0.133,-20.149,0.0454,153.776,5,2021-10-18
8,Chant To Mother Earth,51 Lex Presents: Dance In A Circle (Special Edition),BLO,2006-10-09,369133,31,0.791,0.403,0.447,0.531,0.146,-14.335,0.034,139.12,3,2021-10-18
9,Geninha,Bango,Bango,2017-03-13,206520,34,0.387,0.623,0.398,0.484,0.115,-13.177,0.0579,112.476,4,2021-10-18
10,Itinerario romantico,Itinerario beat,Rigol,1973-01-01,217188,39,0.857,0.623,0.113,0.905,0.126,-21.652,0.0354,80.314,4,2021-10-18
11,Era nova,Refavela,Gilberto Gil,2006-01-20,238880,37,0.776,0.528,0.446,0.00253,0.0903,-9.587,0.036,77.518,4,2021-10-18
12,Le début de la fin,Miniatures de auto rhythm,Domenique Dumont,2018-10-01,287509,45,0.266,0.541,0.815,0.846,0.0672,-7.355,0.0583,180.074,4,2021-10-18
13,イエロー・マジック (東風),イエロー・マジック・オーケストラ(US版),YELLOW MAGIC ORCHESTRA,1979,377173,30,0.00818,0.603,0.722,0.831,0.166,-9.055,0.0347,134.668,4,2021-10-18
14,Coy Boy,Hotep,Blue Iverson,2017-04-11,52559,43,0.966,0.64,0.223,0.958,0.107,-7.454,0.192,187.372,4,2021-10-18
15,Time For Peace,The Time for Peace Is Now - Gospel Music About Us,Various Artists,2019-09-13,286266,34,0.369,0.767,0.746,2.13e-05,0.118,-6.392,0.0301,124.63,4,2021-10-18
16,Ene negn bay manesh,"Ethiopiques, Vol. 8: Swinging Addis 1969-1974",Various Artists,2004-07-04,242453,29,0.706,0.554,0.31,0.00696,0.473,-10.107,0.0414,118.526,4,2021-10-18
17,Why Can't There Be Love,"Gilles Peterson Digs America, Vol. 2",Various Artists,2007-09-17,164560,43,0.404,0.456,0.869,2.75e-05,0.0297,-5.893,0.222,206.387,4,2021-10-18
18,The Red Blouse,Wave,Antônio Carlos Jobim,1967-06-15,309066,41,0.604,0.41,0.446,0.94,0.0868,-17.75,0.0335,168.64,4,2021-10-18
19,I Want to Be,Elias Rahbani and His Orchestra,Elias Rahbani and His Orchestra,1978-01-01,204266,25,0.0191,0.634,0.673,0.816,0.316,-11.593,0.0642,108.829,4,2021-10-18
20,Stitch in Time,Out,Anthony Moore,2020-11-18,190000,4,0.00061,0.469,0.532,5.8e-05,0.333,-14.757,0.0324,146.685,3,2021-10-18
21,Rebels,Dance Hits,Wild Fire,2021-02-01,236472,35,0.0857,0.822,0.532,0.000208,0.127,-10.824,0.0605,102.21,4,2021-10-18
22,Where I'm From,Reachin' (A New Refutation Of Time And Space),Digable Planets,1993-01-01,275342,60,0.188,0.876,0.42,0.00186,0.0668,-18.246,0.279,98.304,4,2021-10-18
23,French Waltz,Musical Massage (Expanded Edition),Leon Ware,2003-01-01,111506,42,0.346,0.367,0.671,0.954,0.496,-10.24,0.0506,159.278,3,2021-10-18
24,Workinonit,Donuts,J Dilla,2006-02-07,177120,51,0.0714,0.651,0.695,0.498,0.585,-7.497,0.244,92.981,4,2021-10-18
25,Make Me Believe In You,Patti Jo - Extended Play,Patti Jo,1972,399880,37,0.126,0.819,0.459,0.459,0.118,-13.551,0.0664,117.902,4,2021-10-18
26,Guided Beam,Scientist Meets The Space Invaders,Scientist,1981-01-01,196400,32,0.000638,0.757,0.451,0.00731,0.121,-12.216,0.141,144.22,4,2021-10-18
27,Luck of Lucien,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,1990-04-17,282520,51,0.138,0.888,0.574,7.16e-05,0.211,-6.286,0.172,104.716,4,2021-10-18
28,Dance of Maria,Mosaic of the Orient,Elias Rahbani,1992-01-01,167293,46,0.00829,0.511,0.515,0.599,0.247,-11.502,0.0323,99.793,4,2021-10-18
29,Dangerous Match One,Junjo Presents: Wins The World Cup,Various Artists,2016-04-29,216600,37,0.0352,0.83,0.338,0.797,0.129,-11.754,0.133,149.28,4,2021-10-18
