, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Cirrus,Kpm 1000 Series: Clouds,Graham De Wilde,1981-01-01,379630,38,0.138,0.453,0.681,0.53,0.279,-9.273,0.048,108.738,4,2022-04-11
1,Arrival,Israeli Salad,The Alchemist,2015-05-26,94967,55,0.00417,0.0,0.802,0.878,0.603,-7.977,0.0,0.0,0,2022-04-11
2,Double Trouble,Alone Together,Karriem Riggins,2012-10-22,116946,47,0.0577,0.362,0.646,0.503,0.197,-6.42,0.0679,81.916,4,2022-04-11
3,Shine On,Summer Breeze,PIPER,1983-05-01,345253,31,0.524,0.68,0.812,0.766,0.131,-11.041,0.0636,110.592,4,2022-04-11
4,TECHNOVA,FUTURE LISTENING!,TOWA TEI,1994-10-21,341973,45,0.103,0.689,0.873,0.0227,0.078,-8.492,0.0523,89.92,4,2022-04-11
5,Baby's Eyes,Vega Intl. Night School,Neon Indian,2015-09-16,386058,29,0.153,0.557,0.595,0.000401,0.312,-6.703,0.0339,139.966,4,2022-04-11
6,Losalamitoslatinfunklovesong,Astral Signal,Gene Harris,1974-11-21,190106,47,0.226,0.77,0.709,0.0148,0.0583,-12.005,0.0558,134.948,4,2022-04-11
7,Rick's New Haircut #1,Another (Demo) One,Mac DeMarco,2016-04-16,190821,38,0.0413,0.568,0.85,0.733,0.118,-5.741,0.172,168.842,3,2022-04-11
8,"Wider, Git Hub",Ratgrave,Ratgrave,2018-07-31,195942,31,0.503,0.578,0.742,0.893,0.275,-8.136,0.0354,103.952,4,2022-04-11
9,Bweyy,Breatharian,Mndsgn,2013-11-12,78187,44,0.867,0.674,0.299,0.86,0.147,-18.782,0.219,88.723,4,2022-04-11
10,Loving You Aint Complicated,Love Spectrum,Whoarei,2020-04-24,133066,46,0.0264,0.726,0.37,0.801,0.0851,-12.224,0.0547,73.07,4,2022-04-11
11,帰り道の本,ロックンロールのはじまりは,Emerson Kitamura,2016-12-14,260720,40,0.0079,0.869,0.255,0.87,0.194,-12.495,0.303,120.011,4,2022-04-11
12,Twenty,Àdá Irin,Navy Blue,2020-02-04,73368,40,0.522,0.373,0.687,0.945,0.418,-15.296,0.0469,114.259,4,2022-04-11
13,Is That Enough,"Here, My Dear",Marvin Gaye,1978-12-15,467866,46,0.0306,0.564,0.573,0.00577,0.0587,-11.365,0.0326,137.778,4,2022-04-11
14,Island Sunrise,Digital-Dance,Software,1987-12-31,392071,38,0.864,0.59,0.392,0.891,0.185,-15.72,0.0341,126.283,4,2022-04-11
15,Jaded,Reality Testing,Lone,2014-06-16,289082,56,0.738,0.642,0.286,0.737,0.105,-19.865,0.0389,94.998,4,2022-04-11
16,Adventures in Green Foot Printing,Far Side Virtual,James Ferraro,2011,208000,41,0.682,0.658,0.877,0.194,0.181,-1.491,0.0281,126.931,4,2022-04-11
17,That's All for Everyone - 2015 Remaster,Tusk (Deluxe Edition),Fleetwood Mac,1979-10-12,181306,37,0.505,0.62,0.438,0.164,0.234,-12.288,0.0287,114.572,4,2022-04-11
18,Don't Let the World Pass You By,Cosmic Messenger,Jean-Luc Ponty,1978,384040,39,0.00686,0.228,0.781,0.209,0.13,-14.178,0.108,159.625,4,2022-04-11
19,Father I Stretch My Hands,Do Not Pass Me By Vol. I,Pastor T.L. Barrett and the Youth for Christ Choir,1976-01-01,433946,43,0.701,0.274,0.612,0.0907,0.244,-6.498,0.0379,113.439,4,2022-04-11
20,Red Clay,Windows,Jack Wilkins,1973-07-18,298798,54,0.373,0.587,0.528,0.693,0.109,-10.793,0.0393,133.983,4,2022-04-11
21,Jabberwocky,Crosswords,Panda Bear,2015-08-21,285169,40,0.624,0.465,0.903,0.0138,0.305,-7.364,0.165,96.841,4,2022-04-11
22,Pillow Talk,Pillow Talk - Single,Lustt,2010-07-27,345520,43,0.0587,0.724,0.55,0.231,0.244,-7.699,0.0452,126.473,4,2022-04-11
23,No I Won't,Evans Pyramid (1978 - 1994),Evans Pyramid,2012-05-08,316453,43,0.151,0.755,0.794,0.0274,0.37,-6.348,0.0409,128.516,4,2022-04-11
24,Summer,Origin,Vanilla,2015-09-20,280250,53,0.0121,0.631,0.47,0.842,0.115,-8.759,0.0457,91.017,4,2022-04-11
25,Underwater Boy,Shiver,Virna Lindt,1984-04-28,378826,42,0.126,0.349,0.578,0.851,0.0999,-9.982,0.0345,79.534,4,2022-04-11
26,Two Roomed Motel,Two Roomed Motel,Scott Gilmore,2019-03-01,252013,31,0.148,0.785,0.496,0.875,0.0769,-7.645,0.0486,102.997,4,2022-04-11
27,Running Around,Running Around,Buddy Ross,2016-08-01,178773,47,0.886,0.395,0.31,0.694,0.103,-20.734,0.0509,181.88,3,2022-04-11
28,Sleeping In A Jar,Uncle Meat,Frank Zappa,1969-04-21,50720,34,0.0501,0.323,0.695,0.219,0.204,-11.953,0.0647,175.488,4,2022-04-11
29,Stormy,Shades Of Blue: Madlib Invades Blue Note,Madlib,2003-06-24,221600,37,0.00677,0.396,0.831,0.000856,0.0749,-7.294,0.227,164.664,4,2022-04-11
