, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,La rue,Troupeau bleu,Cortex,1975-07-15,267320,49,0.351,0.583,0.861,0.639,0.101,-9.453,0.0684,98.463,4,2022-02-07
1,Now She's Gone,Felt,Felt,1971,331866,48,0.0245,0.585,0.563,0.00656,0.0913,-11.105,0.0476,69.699,4,2022-02-07
2,Stories??,Chakachas,The Chakachas,1972-09-12,167233,42,0.678,0.761,0.449,8.48e-05,0.0819,-17.289,0.398,94.479,4,2022-02-07
3,Petit Sékou,Discothèque 76,Bembeya Jazz National,1977-01-01,359133,41,0.134,0.514,0.674,0.868,0.109,-5.219,0.0422,80.065,4,2022-02-07
4,Fazon,The Miraculous Hump Returns From The Moon,Sopwith Camel,2005-04-26,314653,45,0.144,0.552,0.425,0.208,0.125,-11.437,0.0255,86.865,4,2022-02-07
5,Colourful Environment,"Doing It in Lagos: Boogie, Pop & Disco in 1980's Nigeria",Various Artists,2016-12-09,321613,32,0.226,0.704,0.784,0.831,0.142,-8.659,0.0407,106.034,4,2022-02-07
6,Knock Knock,Bad Neighbor,MED,2015-10-30,285093,56,0.202,0.469,0.672,0.0,0.852,-9.23,0.244,99.471,4,2022-02-07
7,As,Butterfly,笠井 紀美子,1979,375266,40,0.265,0.613,0.815,0.000663,0.0463,-13.122,0.0428,107.728,4,2022-02-07
8,DO THE ASTRAL PLANE,LOVEPLAYDANCE,TOSHIO MATSUURA GROUP,2018-03-07,476813,6,0.0063,0.434,0.555,0.553,0.145,-10.74,0.0549,118.041,4,2022-02-07
9,Emakhaya,Armitage Road,Heshoo Beshoo Group,2020-10-30,438637,39,0.295,0.793,0.689,0.631,0.193,-9.31,0.163,122.646,4,2022-02-07
10,There's Never Been No One Like You (feat. Bobby Youngblood) - Medlar Edit,West End Edits: Medlar,Various Artists,2017-04-21,444047,31,0.217,0.945,0.681,0.000992,0.0647,-5.908,0.185,125.011,4,2022-02-07
11,Wu Punk,VWETO II,Georgia Anne Muldrow,2019-06-21,236296,45,0.00098,0.457,0.575,0.864,0.137,-6.52,0.0404,161.957,4,2022-02-07
12,Lotus 72D,Lotus 72D / Você Tão no Alto e Eu Tão Pequeno,Jose Roberto,1973-01-01,188898,33,0.189,0.754,0.589,0.0017,0.0755,-11.757,0.0706,98.499,4,2022-02-07
13,べつの星,できれば愛を,Shintaro Sakamoto,2016-07-27,278506,31,0.493,0.788,0.591,0.02,0.106,-7.393,0.0821,88.59,4,2022-02-07
14,Lagen,"Tanbou Toujou Lou: Meringue, Kompa Kreyol, Vodou Jazz & Electric Folklore from Haiti 1960 - 1981",Various Artists,2016-07-08,256949,32,0.743,0.528,0.708,0.0466,0.0654,-11.286,0.0556,122.864,4,2022-02-07
15,Fm,Squire For Hire,Nathan Haines,2003-01-01,278120,42,0.0228,0.835,0.522,0.0166,0.123,-8.769,0.0289,110.014,4,2022-02-07
16,Pink Litmus Paper Shirt,Glad Music,R. Stevie Moore,1986-02-21,221226,37,0.00374,0.673,0.37,0.0,0.0922,-14.316,0.197,85.247,4,2022-02-07
17,Don't Let Me Down,Play Me Sweet and Nice,Marcia Griffiths,2006-01-01,204533,54,0.404,0.691,0.662,0.00509,0.465,-10.045,0.053,157.367,4,2022-02-07
18,Alfômega - Remastered 2006,Caetano Veloso - 1969,Caetano Veloso,1969-01-01,357746,36,0.0405,0.514,0.669,3.76e-05,0.338,-8.174,0.104,124.772,4,2022-02-07
19,Necessary Evil,Multi-Love,Unknown Mortal Orchestra,2015-05-26,317800,59,0.045,0.828,0.724,0.0606,0.132,-7.217,0.113,96.2,4,2022-02-07
20,Thousand Finger Man,Dancin' & Prancin',Candido,1979-01-01,546440,37,0.0195,0.753,0.872,0.226,0.0721,-10.648,0.0556,122.081,4,2022-02-07
21,The Bronx,The Road From Memphis (Deluxe Edition),Booker T. Jones,2011-05-10,278493,45,0.175,0.649,0.421,0.0127,0.181,-8.084,0.0332,81.284,4,2022-02-07
22,Forge Your Own Chains,The Truth,D.R. Hooker,2000,282973,42,0.432,0.616,0.667,0.13,0.209,-11.537,0.0565,82.611,4,2022-02-07
23,Key to Love (Is Understanding),Key to Love (Is Understanding),BADBADNOTGOOD,2019-12-06,235841,39,0.687,0.579,0.211,0.000668,0.0715,-14.832,0.047,129.707,4,2022-02-07
24,The Vanishing American Family,The Vanishing American Family,ScubaZ,2001,254000,45,0.0481,0.513,0.598,0.834,0.299,-11.337,0.028,103.008,4,2022-02-07
25,Autumn,La Diferencia,Richenel,2017-03-02,389087,35,0.00347,0.776,0.68,5.97e-06,0.333,-9.151,0.0929,113.881,4,2022-02-07
26,Ansumana,Keira,Susso,2016-10-28,325872,41,0.549,0.759,0.508,0.212,0.653,-12.275,0.0676,111.995,4,2022-02-07
27,Fried Neck Bones And Some Home Fries,Uno Dos Tres 1-2-3,Willie Bobo,1966-02-13,183293,54,0.766,0.776,0.452,0.582,0.07,-13.225,0.0339,111.468,4,2022-02-07
28,Get It Up For Love,Hard Candy,Ned Doheny,1976-12-02,281733,51,0.32,0.678,0.622,9.46e-05,0.0251,-10.824,0.0828,81.718,4,2022-02-07
29,U.F.O.,U.F.O.,Jim Sullivan,1969,169600,46,0.424,0.493,0.719,0.00116,0.149,-9.784,0.0411,78.207,4,2022-02-07
