, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,I'm Not Made of Iron,Can't You Hear Me?,Various Artists,2016-03-18,195666,39,0.251,0.717,0.698,0.000709,0.102,-11.364,0.0441,129.816,4,2022-03-07
1,Guy Goodwin,At 333 House,Pachyman,2020-02-07,210386,40,0.0319,0.684,0.776,0.747,0.114,-8.446,0.038,144.932,4,2022-03-07
2,Tú Y Tu Mirar… Yo Y Mi Canción,Clásicos Latinos,Los Angeles Negros,1994-08-02,180200,38,0.104,0.556,0.252,1.03e-05,0.273,-15.908,0.0459,98.006,3,2022-03-07
3,Can't We Smile?,Gears,"Johnny ""Hammond"" Smith",1975-09-01,275073,39,0.307,0.531,0.606,0.00915,0.12,-8.617,0.0302,70.819,4,2022-03-07
4,Seasons Change,Yessir Whatever,Quasimoto,2013-06-18,171893,51,0.483,0.545,0.684,5.23e-05,0.237,-7.683,0.168,80.612,4,2022-03-07
5,Andrè,I Marc 4,I Marc 4,1971-07-12,178390,41,0.611,0.477,0.431,0.951,0.107,-14.423,0.0344,101.016,3,2022-03-07
6,Taurus - The Voluptuary,Cosmic Sounds,Various Artists,2002,221893,40,0.316,0.379,0.379,0.383,0.0977,-12.811,0.0291,74.566,4,2022-03-07
7,I Love Music,The Awakening,Ahmad Jamal Trio,1970,442440,49,0.972,0.314,0.336,0.887,0.109,-15.307,0.0278,78.682,4,2022-03-07
8,Blackbird,Blackbird,Zock,2018-11-12,96414,42,0.0612,0.356,0.819,0.782,0.157,-7.809,0.478,185.968,4,2022-03-07
9,Wanna Do My Thing,Feelin' Funky,Matata,1994-01-01,187800,41,0.531,0.705,0.625,7.73e-06,0.348,-11.963,0.0639,97.831,4,2022-03-07
10,Armina,Matança Do Porco,Som Imaginario,1973,344013,34,0.885,0.337,0.56,0.926,0.111,-8.47,0.0318,170.262,3,2022-03-07
11,"Cheer Up, You're Not Dead Yet",Uncle Tony's Coloring Book,Blockhead,2007-08-14,285986,40,0.00614,0.711,0.622,0.0295,0.159,-7.429,0.0381,142.061,4,2022-03-07
12,Peace,Pieces of a Man,Gil Scott-Heron,1971-01-01,367238,36,0.621,0.623,0.229,0.0,0.32,-13.291,0.0374,114.364,3,2022-03-07
13,All Night,Love Songs: Part Two,Romare,2016-11-11,294211,60,0.0868,0.885,0.485,0.79,0.0883,-9.299,0.0872,106.394,4,2022-03-07
14,Homowo,Homowo,Basa Basa,2018-02-13,371731,33,0.00381,0.585,0.737,0.0643,0.521,-8.037,0.0383,131.161,4,2022-03-07
15,Pizza Pie,Waiting Room,Let Your Hair Down,2021-09-24,186324,39,0.0544,0.378,0.852,0.839,0.105,-3.644,0.129,168.24,4,2022-03-07
16,DON'T SAY NO - 2017 Remaster,スピード・グルー&シンキ (2017 Remaster),"Speed, Glue & Shinki",1972-03-25,337160,26,0.000224,0.495,0.493,0.504,0.534,-10.018,0.0492,141.251,4,2022-03-07
17,Designed to Kill,Buy Contortions 35th Anniversary (Deluxe),james chance,2014-06-10,166186,38,0.0183,0.653,0.75,9.36e-05,0.105,-4.696,0.127,167.898,4,2022-03-07
18,Goin' Down,Too Much Tension!,The Mystery Lights,2019-05-10,157026,40,0.276,0.693,0.621,0.103,0.179,-8.055,0.0348,121.296,4,2022-03-07
19,Groovin',Solid Soul,Willie Mitchell,2014,179106,43,0.407,0.579,0.397,0.832,0.099,-8.565,0.0367,169.486,4,2022-03-07
20,Sleepwalk,Meet Sneaky Pete,Sneaky Pete Kleinow,2001,146760,44,0.875,0.563,0.275,0.927,0.183,-15.901,0.0376,97.277,3,2022-03-07
21,Right On For The Darkness,Telling The Truth,Willie Wright,2011-01-25,200453,42,0.764,0.627,0.711,4.38e-05,0.206,-8.012,0.0732,108.138,4,2022-03-07
22,Viberian Waves - Pt. 1,Viberian Waves (Pt. 1 & 2),Jneiro Jarel,2020-09-11,200000,38,0.0223,0.694,0.643,0.78,0.0759,-10.242,0.243,174.046,4,2022-03-07
23,Ode to an African Violet,Mother Earth's Plantasia,Mort Garson,2019-03-22,242630,47,0.476,0.546,0.18,0.894,0.114,-21.321,0.0304,108.839,4,2022-03-07
24,Le jardin,Windowsill,Mcbaise,2017-09-15,207678,45,0.000427,0.527,0.605,0.00163,0.557,-8.131,0.0366,74.954,4,2022-03-07
25,Crust,Yasuke,Flying Lotus,2021-04-30,133520,66,0.576,0.676,0.408,0.867,0.201,-7.937,0.0811,106.515,3,2022-03-07
26,Smoke Rings,Mr. Soul,Sam Cooke,1963-02,206160,47,0.906,0.315,0.282,0.0,0.165,-13.078,0.0342,156.171,4,2022-03-07
27,Fillmoe,I Hate You With A Passion,Andre Nickatina,1995-04-19,96400,39,0.579,0.748,0.546,0.695,0.0919,-8.898,0.0368,79.762,4,2022-03-07
28,Ajo,Oma Lewa,Peter King,1976,237426,36,0.284,0.746,0.844,0.0531,0.348,-9.178,0.0584,106.655,4,2022-03-07
29,Mermaid,Kpm 1000 Series: Synthesis,Alan Hawkshaw,1974-01-01,236866,43,0.987,0.316,0.124,0.926,0.103,-28.143,0.0337,80.669,4,2022-03-07
