, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Be Thankful For What You Got,Reel To Real,Love,1974,273400,51,0.63,0.678,0.592,0.0436,0.0543,-11.678,0.199,99.293,4,2021-05-10
1,Free Angela (Thoughts… And All I've Got To Say),Kwaito Kings,Various Artists,2019-03-22,317645,39,0.42,0.428,0.384,0.00802,0.128,-12.566,0.0455,83.309,4,2021-05-10
2,We Don't Care,Vampyros Lesbos (Sexadelic Dance Party),Vampire Sound Inc.,1969-10-24,320706,35,0.383,0.458,0.655,0.167,0.103,-9.751,0.0314,102.223,4,2021-05-10
3,Dreamflower,Tarika Blue,Tarika Blue,1977,255533,45,0.77,0.551,0.252,0.719,0.0834,-17.767,0.0293,134.878,4,2021-05-10
4,Mad Man,My Own Thing,Mike Nyoni and Born Free,2018-01-28,156333,33,0.396,0.612,0.776,0.0623,0.104,-9.055,0.0645,92.85,4,2021-05-10
5,Morning Sunrise,The Sisters,Weldon Irvine,2016-12-09,199320,49,0.132,0.482,0.557,0.731,0.201,-7.645,0.0487,135.367,4,2021-05-10
6,Walk On By - Album - Remaster,Hot Buttered Soul (Deluxe Remaster),Isaac Hayes,1969,720453,27,0.337,0.288,0.476,0.0471,0.204,-12.509,0.0453,78.938,4,2021-05-10
7,Tinariwen,"Music from Saharan Cellphones, Vol. 1",Various Artists,2011-12-02,376600,35,0.72,0.764,0.724,0.00135,0.28,-5.394,0.054,101.505,4,2021-05-10
8,It's Nice to Be Alive,Only Diamonds Cut Diamonds,Vegyn,2019-11-08,205893,50,0.804,0.648,0.66,0.839,0.0881,-7.129,0.0379,126.033,4,2021-05-10
9,Man On the Side,Love Apple,Love Apple,2012-02-28,289226,31,0.886,0.766,0.494,2.73e-05,0.0342,-12.644,0.125,79.21,4,2021-05-10
10,Invitation - Instrumental,Latin Kick,Cal Tjader,1959-01-01,253800,40,0.942,0.656,0.137,0.703,0.094,-21.364,0.0343,98.005,4,2021-05-10
11,Ladybird,Kpm 1000 Series: Friends and Lovers,Various Artists,1975-01-01,271000,30,0.529,0.564,0.138,0.91,0.11,-23.848,0.0351,83.123,4,2021-05-10
12,Sundown Syndrome,Sundown Syndrome / Remember Me,Tame Impala,2009-01-01,349333,56,0.0952,0.2,0.725,0.494,0.135,-4.88,0.0377,69.075,4,2021-05-10
13,Cross Country,Archie Whitewater,Archie Whitewater,1970-01-01,201866,40,0.524,0.424,0.497,0.013,0.111,-9.515,0.0347,151.049,4,2021-05-10
14,Too High,Innervisions,Stevie Wonder,1973-08-03,276226,48,0.765,0.624,0.646,0.00136,0.098,-11.721,0.0593,99.019,4,2021-05-10
15,You Don't Know What's Going On,"Exuma, The Obeah Man",Exuma,1970-01-01,212306,40,0.373,0.695,0.883,0.0,0.0831,-6.125,0.145,118.826,4,2021-05-10
16,I Tcho Tchass,Akofa Akoussah,Akofa Akoussah,2018-07-19,233892,37,0.948,0.418,0.52,0.0803,0.218,-10.374,0.133,74.396,3,2021-05-10
17,Glad to Be Unhappy,The Complete RCA Victor Recordings,Paul Desmond,1963,344080,30,0.987,0.435,0.0435,0.76,0.0985,-24.654,0.0423,77.533,4,2021-05-10
18,Mic Check,Fantasma (Remastered),Cornelius,1998-03-24,181466,40,0.00903,0.517,0.745,0.228,0.354,-10.384,0.147,101.043,4,2021-05-10
19,Skull Session,Skull Session,Oliver Nelson,1975-06-15,364520,37,0.0102,0.27,0.8,0.0407,0.0857,-6.404,0.0679,138.963,4,2021-05-10
20,East of the River Nile - 1971 Version,Rebel Music: A Reggae Anthology,Various Artists,1979-01-01,167600,51,0.845,0.841,0.547,0.256,0.0704,-8.69,0.0601,112.852,4,2021-05-10
21,Wajang Woman,Nappy Music Man: Soul-Pop-Disco-Funk-Calypso-Crossover from Trinidad 1975-1981,Various Artists,2015-09-25,197013,33,0.113,0.73,0.894,0.0447,0.191,-9.819,0.0696,106.494,4,2021-05-10
22,Crosshairs,THE MOUSE & THE MASK,DANGERDOOM,2005-10-17,146853,55,0.14,0.427,0.525,7.34e-05,0.602,-8.035,0.205,171.793,4,2021-05-10
23,Stenella dubia,Flipper Psychout,Various Artists,2010-11-29,219826,28,0.758,0.557,0.367,0.919,0.108,-15.466,0.0436,143.783,4,2021-05-10
24,Loving Machine,Who Really Cares,TV Girl,2016-02-25,227000,45,0.566,0.58,0.69,0.024,0.226,-9.52,0.0267,89.984,4,2021-05-10
25,I Tcho Tchass,Togo Soul 70,Various Artists,2016-11-18,231041,46,0.917,0.404,0.57,0.0349,0.36,-8.67,0.252,80.383,4,2021-05-10
26,San Lorenzo,Manual,Boogarins,2015-10-30,213613,39,0.602,0.616,0.559,0.861,0.431,-9.945,0.0473,98.61,4,2021-05-10
27,YURA YURA UGOKU,3×3×3,Yura Yura Teikoku,1998-04-15,539840,35,0.00713,0.481,0.53,0.0021,0.41,-7.682,0.0263,89.021,4,2021-05-10
28,Purple Afternoon,Book of Sound,Hypnotic Brass Ensemble,2017-11-10,366897,37,0.975,0.637,0.0724,0.787,0.102,-14.195,0.0295,94.948,1,2021-05-10
29,Wavelength,Paradise,The Mattson 2,2019-06-07,373386,42,0.27,0.293,0.629,0.519,0.0997,-7.66,0.0317,103.782,4,2021-05-10
