, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Preben Goes to Acapulco,It's Album Time,Todd Terje,2014-04-07,275173,47,0.0177,0.713,0.675,0.856,0.0851,-9.751,0.0366,95.997,4,2021-12-06
1,Idle Hands,Harlem River Drive,Harlem River Drive,1971,509466,33,0.404,0.527,0.759,0.00259,0.0698,-13.095,0.0408,171.005,4,2021-12-06
2,The Other Song,The Mercury Years,Spirit,1997-01-01,330000,46,0.311,0.422,0.408,0.00158,0.39,-9.131,0.0577,160.018,3,2021-12-06
3,Pontos De Luz,India,Gal Costa,1973-01-01,161600,41,0.14,0.612,0.602,0.00123,0.142,-16.594,0.0532,109.267,4,2021-12-06
4,Autopsie d'un complot,Musique originale de films (Habibi Funk 003),Ahmed Malek,2016-05-13,209000,29,0.36,0.585,0.595,0.852,0.303,-11.118,0.0369,104.186,4,2021-12-06
5,Estudio Nº 1,Sebastião Tapajos & Pedro Dos Santos,Sebastiao Tapajós,1972-03-03,228733,33,0.851,0.444,0.321,0.934,0.104,-20.136,0.0595,127.348,4,2021-12-06
6,Agricultural Revolution,Muslims and Christians (Habibi Funk 008),Kamal Keila,2018-07-06,307500,35,0.394,0.545,0.734,0.0159,0.225,-6.828,0.0443,114.866,4,2021-12-06
7,Space Oddity,Dune,David Matthews,1977,367133,34,0.522,0.44,0.404,0.139,0.0844,-11.956,0.0322,82.264,4,2021-12-06
8,Where Did He Come From? - Radio Edit,Where Did He Come From? (Radio Edit),Sunday,2019-07-08,176893,32,0.0774,0.308,0.478,0.000462,0.385,-10.027,0.0342,171.531,4,2021-12-06
9,When the Lights Are Low,On the Beach: The Anthology,The Paragons,1967-01-01,184626,41,0.809,0.587,0.384,0.0375,0.1,-7.622,0.0239,90.085,4,2021-12-06
10,MRA,Chris McGregor's Brotherhood of Breath,Chris McGregor's Brotherhood Of Breath,2008-02-26,305973,21,0.116,0.415,0.813,0.137,0.146,-7.717,0.0676,159.178,4,2021-12-06
11,Rabbits of the Void,Extended Play 1,Tomaga,2019-06-07,396987,42,0.659,0.389,0.307,0.889,0.321,-15.167,0.0292,95.77,4,2021-12-06
12,Caterpillar Crawl,Surf Rider,The Lively Ones,1963,159866,37,0.000638,0.498,0.842,0.932,0.186,-5.284,0.0339,117.386,4,2021-12-06
13,Pot au Feu - BBC Version,Pot au Feu (BBC Version),Delia Derbyshire,2021-01-04,193187,34,0.788,0.516,0.44,0.0379,0.0823,-12.428,0.0902,151.231,5,2021-12-06
14,Ala Vida,Yeti Season,El Michels Affair,2021-03-26,232357,45,0.67,0.647,0.386,0.906,0.146,-10.388,0.0571,80.833,4,2021-12-06
15,You Belong to Me,Carry On,Bobby Caldwell,1991,191093,43,0.202,0.855,0.346,1.55e-05,0.0922,-14.856,0.0466,105.413,4,2021-12-06
16,Playground,Apollo XXI,Steve Lacy,2019-05-24,213797,61,0.113,0.482,0.788,0.00437,0.344,-6.309,0.0425,191.776,4,2021-12-06
17,Otha Fish,Bizarre Ride II The Pharcyde,The Pharcyde,1992-11-24,321506,53,0.121,0.758,0.845,0.0,0.328,-8.021,0.272,76.882,4,2021-12-06
18,空洞です,空洞です,Yura Yura Teikoku,2007,284826,45,0.0371,0.605,0.607,0.00753,0.0821,-6.66,0.0355,86.815,4,2021-12-06
19,Dreamer,Pacific Ocean Blue & Bambu - 2 CD Deluxe Legacy Edition,Dennis Wilson,1977,262906,42,0.0699,0.559,0.402,0.00105,0.15,-14.504,0.0564,76.831,4,2021-12-06
20,It's My Life,"Point of No Return - Previously Unreleased Masters, a Lost 45 & Rare Demos",Jim Ford,2008-01-25,171866,41,0.103,0.566,0.553,1.57e-05,0.0569,-5.489,0.0424,84.738,4,2021-12-06
21,Harlem Hendoo,Soul In the Horn,Al Hirt,1967-08-21,159200,36,0.336,0.491,0.359,0.616,0.126,-10.174,0.0298,182.353,4,2021-12-06
22,No Lie,Uneven Paths: Deviant Pop From Europe (1980-1991),Various Artists,2018-03-29,416432,35,0.375,0.693,0.652,0.0997,0.954,-8.848,0.0353,100.105,4,2021-12-06
23,Happy Survival,Nigeria 70 - Lagos Jump,Various Artists,2008-05-12,188466,29,0.39,0.698,0.658,0.0023,0.103,-7.934,0.0768,153.865,4,2021-12-06
24,Static Gravity,Red Exposure (Bonus Track Version),Chrome,2014-10-14,201959,38,0.0853,0.708,0.729,0.332,0.24,-9.972,0.247,74.415,4,2021-12-06
25,Argon - Part 2,Mystery Road,Lucky Brown,2015-01-26,207776,40,0.879,0.693,0.606,0.861,0.108,-10.956,0.0329,95.859,4,2021-12-06
26,O Vermona,We Had A Good Time,Bullion,2020-02-28,288073,42,0.1,0.607,0.649,0.811,0.119,-10.946,0.0322,100.005,4,2021-12-06
27,Bottom Of The Sea,After The Rain,Muddy Waters,1969-05-12,324386,43,0.00404,0.425,0.61,0.0191,0.0901,-8.261,0.03,98.992,4,2021-12-06
28,Bellhead,Slip In And Out Of Phenomenon,Liquid Liquid,2008-05-19,142106,28,0.0796,0.758,0.97,0.788,0.334,-5.099,0.0893,126.354,4,2021-12-06
29,Tomorrow Is Gone,Jode,Jode,1971-01-01,190523,35,0.527,0.465,0.271,0.0557,0.0906,-10.496,0.0304,145.588,4,2021-12-06
