, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Could Heaven Ever Be Like This,Turn This Mutha Out,Idris Muhammad,1977,516586,58,0.388,0.755,0.842,0.541,0.105,-7.293,0.129,123.203,4,2021-11-08
1,"Exuma, The Obeah Man","Exuma, The Obeah Man",Exuma,1970-01-01,377560,37,0.0238,0.491,0.894,0.0,0.125,-6.965,0.25,114.246,4,2021-11-08
2,Hung Up On My Baby,Legenden des Soul - Isaac Hayes,Isaac Hayes,2014-01-01,377466,36,0.139,0.649,0.753,0.858,0.0512,-7.539,0.0306,102.147,4,2021-11-08
3,Way Star,In Motion,Rubba,1978-05-08,231250,35,0.527,0.461,0.223,0.827,0.118,-17.783,0.0321,127.417,4,2021-11-08
4,Simple Times,El Dorado,Frank LoCrasto,2011-03-01,310693,43,0.928,0.64,0.515,0.894,0.0948,-10.934,0.0247,95.783,4,2021-11-08
5,Jazz 104,Rivers Of The Red Planet,Max Graef,2014-04-07,67943,33,0.715,0.545,0.881,0.241,0.208,-9.98,0.123,116.204,3,2021-11-08
6,Aquarius,The Prophet,Cal Tjader,1968-11-01,220733,42,0.808,0.423,0.144,0.34,0.152,-21.201,0.0369,110.34,4,2021-11-08
7,The Right to Remain Silent,The Natural Bridge,Silver Jews,1996-10-01,156600,36,0.844,0.481,0.351,0.902,0.114,-15.11,0.0399,174.534,4,2021-11-08
8,Dez Total (Filhos de Gandhy),Grandeza,Sessa,2019-06-04,131639,26,0.946,0.646,0.366,0.0664,0.125,-10.803,0.0425,99.764,4,2021-11-08
9,The Shoes of the Fisherman's Wife Are Some Jive Ass Slippers,Let My Children Hear Music,Charles Mingus,1972-02-01,574426,33,0.855,0.294,0.587,0.645,0.127,-10.097,0.0458,98.024,4,2021-11-08
10,Ready Or Not,Reggae Anthology: Winston Riley - Quintessential Techniques,Various Artists,2009-10-16,179493,41,0.213,0.763,0.743,0.00211,0.0661,-4.123,0.194,145.605,4,2021-11-08
11,Don't Let It Get You Down - 2003 Remaster,Bananamour,Kevin Ayers,1973,243702,36,0.55,0.427,0.517,0.247,0.074,-12.187,0.0421,80.628,4,2021-11-08
12,Krusty,"""Whatever, Mortal""",Papa M,2001-11-05,234280,41,0.255,0.49,0.678,0.237,0.562,-10.891,0.0294,130.354,4,2021-11-08
13,What You Are,Uneven Paths: Deviant Pop From Europe (1980-1991),Various Artists,2018-03-29,215396,36,0.825,0.65,0.605,0.345,0.0946,-10.848,0.117,104.526,4,2021-11-08
14,Crazy Blue,Sixty Nine,A.R. Kane,1988-07-01,206773,30,0.0136,0.535,0.42,0.501,0.0934,-15.703,0.0292,145.195,4,2021-11-08
15,Morning Broadway,Kpm 1000 Series: Chorus and Orchestra,Keith Mansfield,1969-10-01,125226,40,0.541,0.763,0.616,0.787,0.113,-8.117,0.0365,94.49,4,2021-11-08
16,Serious Drug,Cookie Dough,Wildcookie,2011-02-22,175586,38,0.674,0.79,0.519,0.032,0.0885,-7.746,0.0684,150.047,4,2021-11-08
17,Rockin - Poppin Full Tilting - Long,Rockin - Poppin Full Tilting,Lee Alfred,1980-01-01,374201,27,0.0139,0.851,0.625,0.000348,0.0538,-13.061,0.0428,128.919,4,2021-11-08
18,Space Time Girl,Fallen Angels (The Singles Collection),The Heliocentrics,2009-04-20,220120,38,0.00979,0.54,0.667,0.321,0.499,-8.533,0.0286,84.072,4,2021-11-08
19,Angel of Air / Angel of Water,Illuminations,Devadip Carlos Santana,1974,594866,1,0.921,0.171,0.272,0.853,0.104,-14.472,0.0355,88.236,4,2021-11-08
20,Reggae Beat Goes On,"Soul Jazz Records Presents HUSTLE! Reggae Disco - Kingston, London, New York",Various Artists,1979,240933,28,0.014,0.871,0.531,1.12e-05,0.192,-8.657,0.0361,111.403,4,2021-11-08
21,Lost my Head there,b'lieve i'm goin down...,Kurt Vile,2015-09-25,415720,50,0.104,0.495,0.593,0.745,0.0763,-9.165,0.044,93.55,4,2021-11-08
22,ボンボヤージ波止場,モーニング,Chu Kosaka,2000-05-25,242200,35,0.59,0.689,0.256,0.000281,0.0813,-16.45,0.0342,84.57,4,2021-11-08
23,The Positive and the Negative,Bamboo,Minoru Muraoka,1970,564773,30,0.328,0.477,0.487,0.719,0.0663,-11.238,0.137,97.435,4,2021-11-08
24,Idol Eyes,Idol Eyes,Common Saints,2020-06-26,288426,51,0.175,0.502,0.631,0.0632,0.099,-7.462,0.0292,173.859,4,2021-11-08
25,Ahmad's Waltz,Listen To The Ahmad Jamal Quintet,Ahmad Jamal Quintet,1961-10-22,285053,35,0.86,0.682,0.0453,0.858,0.101,-20.792,0.0563,93.695,3,2021-11-08
26,It's Time To Break Down,New Ways But Love Stays,The Supremes,1970-10,312946,35,0.515,0.359,0.651,0.000119,0.203,-9.233,0.0344,196.817,4,2021-11-08
27,The Knife Thrower I,II,Ben von Wildenhaus,2015-01-01,158266,41,0.894,0.821,0.738,0.869,0.114,-8.119,0.0328,139.967,4,2021-11-08
28,Love Me for Real,Too Tough / I'm Not Going to Let You Go,Rim Kwaku Obeng,2015-10-02,508000,41,0.0108,0.635,0.878,0.0548,0.0564,-7.642,0.0527,117.598,4,2021-11-08
29,Osamu's Theme: KYOKO'S HOUSE,Mishima,Philip Glass,1985,179573,35,0.21,0.193,0.16,0.457,0.135,-20.455,0.0375,176.246,4,2021-11-08
