, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Just Like a Baby,There's A Riot Goin' On,Sly & The Family Stone,1971-11-20,311000,49,0.00891,0.84,0.398,0.361,0.0921,-13.419,0.0333,97.979,1,2021-04-05
1,French Waltz,Musical Massage (Expanded Edition),Leon Ware,2003-01-01,111506,40,0.346,0.367,0.671,0.954,0.496,-10.24,0.0506,159.278,3,2021-04-05
2,Red Clay,Windows,Jack Wilkins,1973-07-18,298798,46,0.373,0.587,0.528,0.693,0.109,-10.793,0.0393,133.983,4,2021-04-05
3,The Flower Called Nowhere,Dots And Loops,Stereolab,1997-09-22,295013,43,0.669,0.525,0.634,0.0118,0.199,-9.952,0.0258,105.701,3,2021-04-05
4,Experience,Invention,Daedelus,2002-04-30,128693,41,0.605,0.402,0.439,0.4,0.143,-12.55,0.0561,103.371,4,2021-04-05
5,Gentle Man,Late Night Tales: Floating Points,Floating Points,2019-03-29,293293,35,0.816,0.379,0.378,0.141,0.123,-14.246,0.0311,175.536,4,2021-04-05
6,Today,The Honeysuckle Breeze,Tom Scott,1967,199053,41,0.209,0.462,0.784,0.0131,0.0659,-5.069,0.0413,107.66,4,2021-04-05
7,Your Smile,Rufusized,Rufus & Chaka Khan,1974-01-01,200200,46,0.647,0.491,0.294,7.79e-06,0.0992,-13.23,0.0297,124.783,4,2021-04-05
8,Moses,Nino And Radiah Et Le Sud,Nino Ferrer,2013-01-01,285493,33,0.707,0.758,0.658,0.00148,0.104,-6.46,0.0281,108.707,4,2021-04-05
9,That's All for Everyone - 2015 Remaster,Tusk (Deluxe Edition),Fleetwood Mac,1979-10-12,181306,37,0.505,0.62,0.438,0.164,0.234,-12.288,0.0287,114.572,4,2021-04-05
10,Saudade Vem Correndo,Jazz Samba Encore!,Stan Getz,1963,219093,54,0.946,0.634,0.288,0.163,0.366,-16.798,0.0377,90.633,4,2021-04-05
11,In the middle of the night,Searching,Ronald Langestraat,2019-01-03,215533,36,0.0616,0.679,0.594,0.116,0.113,-10.228,0.0261,94.545,4,2021-04-05
12,I Don't Know - Remastered,Hello Nasty (Deluxe Version/Remastered 2009),Beastie Boys,1998-07-14,180373,53,0.447,0.869,0.406,0.903,0.0713,-15.172,0.0662,114.024,4,2021-04-05
13,Sudden Death,Sudden Death,Quelle Chris,2020-02-04,221283,55,0.383,0.608,0.87,0.847,0.067,-4.344,0.0287,157.118,4,2021-04-05
14,Anchi Bale Game,Sons of Ethiopia,Admas,2020-07-27,314866,39,0.213,0.551,0.648,0.00029,0.116,-9.776,0.0435,118.501,4,2021-04-05
15,River People - Live,Mr. Gone,Weather Report,1978,288840,28,0.525,0.619,0.574,0.0311,0.373,-11.029,0.0382,102.91,4,2021-04-05
16,Rain,Rain Forest,Walter Wanderley,1966,228026,47,0.963,0.527,0.196,0.905,0.094,-17.663,0.0339,65.869,4,2021-04-05
17,WEIGHT OFF,99.9%,KAYTRANADA,2016-05-06,155960,56,0.521,0.65,0.495,0.724,0.123,-6.385,0.0455,80.032,4,2021-04-05
18,Valley in the Ocean,Those Who Throw Objects at the Crocodiles Will Be Asked to Retrieve Them,Bruno Pernadas,2016-09-23,405351,42,0.825,0.457,0.272,0.573,0.13,-12.022,0.0345,200.364,3,2021-04-05
19,The Meaning of Love,Late Night Tales: Badbadnotgood,BADBADNOTGOOD,2017-07-28,180293,38,0.615,0.405,0.34,0.599,0.0981,-15.868,0.0338,106.806,4,2021-04-05
20,Space Time Girl,Fallen Angels (The Singles Collection),The Heliocentrics,2009-04-20,220120,43,0.00979,0.54,0.667,0.321,0.499,-8.533,0.0286,84.072,4,2021-04-05
21,The Visit (She Was Here),Red Rubber Ball (A Collection),The Cyrkle,1991-08-27,138133,40,0.714,0.696,0.133,9.66e-06,0.11,-20.836,0.0387,116.456,4,2021-04-05
22,Corridor of Dreams,Midnight Cleaners,The Cleaners From Venus,1982,310066,44,0.0932,0.653,0.642,0.0317,0.632,-7.693,0.0354,127.816,4,2021-04-05
23,Kothbiro,Black Savage,Black Savage,1975-01-01,247302,37,0.0569,0.427,0.355,0.00279,0.415,-14.34,0.0316,81.115,4,2021-04-05
24,"Black Man's World - aka ""Black Man, White Man""",Be True to Yourself: The Godfather of Lover's Rock (Anthology 1965-1973),Alton Ellis,2004-11-23,171200,39,0.552,0.786,0.355,0.00124,0.0793,-12.362,0.145,109.119,4,2021-04-05
25,You Can Have It All,Rock Your Baby,George McCrae,1974,174000,48,0.447,0.424,0.837,0.027,0.152,-9.941,0.154,104.641,4,2021-04-05
26,Clube Da Esquina Nº 2,Clube Da Esquina,Milton Nascimento,1972-01-03,218600,45,0.44,0.47,0.454,0.424,0.244,-14.921,0.0289,151.519,4,2021-04-05
27,Strange Overtones,Everything That Happens Will Happen Today,David Byrne,2004-11-23,256346,32,0.263,0.693,0.836,0.00462,0.642,-6.942,0.0469,109.989,4,2021-04-05
28,Aldeia De Ogum,Feminina,Joyce,1980,274400,34,0.0127,0.339,0.917,0.000261,0.148,-8.892,0.102,132.421,4,2021-04-05
29,Running Out Of Time,Running Out Of Time,Rexy,2016-03-18,256599,33,0.655,0.671,0.53,0.514,0.0683,-11.385,0.0277,117.852,4,2021-04-05
